,fips,Recip_County,ST,Vax_Pct
774,18155,Switzerland County,IN,32.0
775,18157,Tippecanoe County,IN,59.2
776,18159,Tipton County,IN,46.7
777,18161,Union County,IN,52.2
778,18163,Vanderburgh County,IN,59.5
779,18165,Vermillion County,IN,48.5
780,18167,Vigo County,IN,51.6
781,18169,Wabash County,IN,42.6
782,18171,Warren County,IN,47.2
783,18173,Warrick County,IN,64.6
784,18175,Washington County,IN,41.4
785,18177,Wayne County,IN,51.8
786,18179,Wells County,IN,43.0
787,18181,White County,IN,56.3
788,18183,Whitley County,IN,48.4
789,19001,Adair County,IA,49.9
790,19003,Adams County,IA,56.9
791,19005,Allamakee County,IA,54.7
792,19007,Appanoose County,IA,48.2
793,19009,Audubon County,IA,59.1
794,19011,Benton County,IA,59.7
795,19013,Black Hawk County,IA,61.4
796,19015,Boone County,IA,65.5
797,19017,Bremer County,IA,60.9
798,19019,Buchanan County,IA,54.4
799,19021,Buena Vista County,IA,69.9
800,19023,Butler County,IA,58.2
801,19025,Calhoun County,IA,60.4
802,19027,Carroll County,IA,62.5
803,19029,Cass County,IA,59.0
804,19031,Cedar County,IA,61.0
805,19033,Cerro Gordo County,IA,64.2
806,19035,Cherokee County,IA,53.9
807,19037,Chickasaw County,IA,55.8
808,19039,Clarke County,IA,55.6
809,19041,Clay County,IA,52.8
810,19043,Clayton County,IA,48.7
811,19045,Clinton County,IA,55.6
812,19047,Crawford County,IA,54.9
813,19049,Dallas County,IA,68.0
814,19051,Davis County,IA,37.5
815,19053,Decatur County,IA,41.8
816,19055,Delaware County,IA,55.5
817,19057,Des Moines County,IA,52.5
818,19059,Dickinson County,IA,59.7
819,19061,Dubuque County,IA,65.5
820,19063,Emmet County,IA,53.5
821,19065,Fayette County,IA,55.2
822,19067,Floyd County,IA,53.9
823,19069,Franklin County,IA,55.3
824,19071,Fremont County,IA,54.0
825,19073,Greene County,IA,59.2
826,19075,Grundy County,IA,63.0
827,19077,Guthrie County,IA,59.1
828,19079,Hamilton County,IA,64.5
829,19081,Hancock County,IA,50.5
830,19083,Hardin County,IA,56.6
831,19085,Harrison County,IA,52.9
832,19087,Henry County,IA,55.0
833,19089,Howard County,IA,52.9
834,19091,Humboldt County,IA,50.7
835,19093,Ida County,IA,49.5
836,19095,Iowa County,IA,63.4
837,19097,Jackson County,IA,53.8
838,19099,Jasper County,IA,59.3
839,19101,Jefferson County,IA,49.0
840,19103,Johnson County,IA,74.2
841,19105,Jones County,IA,59.3
842,19107,Keokuk County,IA,47.2
843,19109,Kossuth County,IA,52.6
844,19111,Lee County,IA,52.1
845,19113,Linn County,IA,67.7
846,19115,Louisa County,IA,53.9
847,19117,Lucas County,IA,45.8
848,19119,Lyon County,IA,42.7
849,19121,Madison County,IA,54.7
850,19123,Mahaska County,IA,45.1
851,19125,Marion County,IA,53.8
852,19127,Marshall County,IA,67.5
853,19129,Mills County,IA,58.1
854,19131,Mitchell County,IA,49.4
855,19133,Monona County,IA,54.8
856,19135,Monroe County,IA,46.9
857,19137,Montgomery County,IA,58.0
858,19139,Muscatine County,IA,61.7
859,19141,O'Brien County,IA,51.0
860,19143,Osceola County,IA,45.8
861,19145,Page County,IA,54.3
862,19147,Palo Alto County,IA,51.7
863,19149,Plymouth County,IA,53.3
864,19151,Pocahontas County,IA,53.0
865,19153,Polk County,IA,68.9
866,19155,Pottawattamie County,IA,59.0
867,19157,Poweshiek County,IA,59.5
868,19159,Ringgold County,IA,53.4
869,19161,Sac County,IA,53.5
870,19163,Scott County,IA,62.4
871,19165,Shelby County,IA,60.3
872,19167,Sioux County,IA,42.4
873,19169,Story County,IA,64.2
874,19171,Tama County,IA,63.7
875,19173,Taylor County,IA,47.7
876,19175,Union County,IA,52.1
877,19177,Van Buren County,IA,42.5
878,19179,Wapello County,IA,51.2
879,19181,Warren County,IA,60.8
880,19183,Washington County,IA,57.7
881,19185,Wayne County,IA,42.6
882,19187,Webster County,IA,58.4
883,19189,Winnebago County,IA,53.2
884,19191,Winneshiek County,IA,63.6
885,19193,Woodbury County,IA,57.8
886,19195,Worth County,IA,52.5
887,19197,Wright County,IA,58.4
888,20001,Allen County,KS,47.9
889,20003,Anderson County,KS,44.4
890,20005,Atchison County,KS,48.0
891,20007,Barber County,KS,48.2
892,20009,Barton County,KS,44.5
893,20011,Bourbon County,KS,37.7
894,20013,Brown County,KS,62.4
895,20015,Butler County,KS,50.2
896,20017,Chase County,KS,47.7
897,20019,Chautauqua County,KS,42.2
898,20021,Cherokee County,KS,47.3
899,20023,Cheyenne County,KS,46.2
900,20025,Clark County,KS,47.4
901,20027,Clay County,KS,61.9
902,20029,Cloud County,KS,49.0
903,20031,Coffey County,KS,54.3
904,20033,Comanche County,KS,46.5
905,20035,Cowley County,KS,49.7
906,20037,Crawford County,KS,48.1
907,20039,Decatur County,KS,41.1
908,20041,Dickinson County,KS,58.5
909,20043,Doniphan County,KS,49.4
910,20045,Douglas County,KS,63.7
911,20047,Edwards County,KS,49.4
912,20049,Elk County,KS,34.9
913,20051,Ellis County,KS,51.3
914,20053,Ellsworth County,KS,57.6
915,20055,Finney County,KS,51.5
916,20057,Ford County,KS,47.3
917,20059,Franklin County,KS,53.0
918,20061,Geary County,KS,95.0
919,20063,Gove County,KS,48.9
920,20065,Graham County,KS,50.2
921,20067,Grant County,KS,48.5
922,20069,Gray County,KS,46.7
923,20071,Greeley County,KS,52.2
924,20073,Greenwood County,KS,50.9
925,20075,Hamilton County,KS,42.1
926,20077,Harper County,KS,49.7
927,20079,Harvey County,KS,48.4
928,20081,Haskell County,KS,40.1
929,20083,Hodgeman County,KS,46.2
930,20085,Jackson County,KS,65.5
931,20087,Jefferson County,KS,55.5
932,20089,Jewell County,KS,47.1
933,20091,Johnson County,KS,78.7
934,20093,Kearny County,KS,55.0
935,20095,Kingman County,KS,48.2
936,20097,Kiowa County,KS,52.4
937,20099,Labette County,KS,50.7
938,20101,Lane County,KS,43.1
939,20103,Leavenworth County,KS,60.4
940,20105,Lincoln County,KS,44.5
941,20107,Linn County,KS,36.3
942,20109,Logan County,KS,47.6
943,20111,Lyon County,KS,58.7
944,20113,McPherson County,KS,56.5
945,20115,Marion County,KS,50.5
946,20117,Marshall County,KS,65.4
947,20119,Meade County,KS,42.3
948,20121,Miami County,KS,48.9
949,20123,Mitchell County,KS,54.0
950,20125,Montgomery County,KS,46.9
951,20127,Morris County,KS,56.8
952,20129,Morton County,KS,42.8
953,20131,Nemaha County,KS,55.2
954,20133,Neosho County,KS,29.3
955,20135,Ness County,KS,53.6
956,20137,Norton County,KS,53.9
957,20139,Osage County,KS,52.2
958,20141,Osborne County,KS,42.5
959,20143,Ottawa County,KS,46.5
960,20145,Pawnee County,KS,55.5
961,20147,Phillips County,KS,44.3
962,20149,Pottawatomie County,KS,42.6
963,20151,Pratt County,KS,50.7
964,20153,Rawlins County,KS,43.9
965,20155,Reno County,KS,50.6
966,20157,Republic County,KS,51.5
967,20159,Rice County,KS,44.8
968,20161,Riley County,KS,40.3
969,20163,Rooks County,KS,49.2
970,20165,Rush County,KS,51.8
971,20167,Russell County,KS,44.0
972,20169,Saline County,KS,51.2
973,20171,Scott County,KS,49.4
974,20173,Sedgwick County,KS,56.8
975,20175,Seward County,KS,48.4
976,20177,Shawnee County,KS,63.2
977,20179,Sheridan County,KS,36.2
978,20181,Sherman County,KS,45.0
979,20183,Smith County,KS,45.5
980,20185,Stafford County,KS,47.2
981,20187,Stanton County,KS,51.8
982,20189,Stevens County,KS,40.4
983,20191,Sumner County,KS,44.6
984,20193,Thomas County,KS,42.3
985,20195,Trego County,KS,39.6
986,20197,Wabaunsee County,KS,48.9
987,20199,Wallace County,KS,38.5
988,20201,Washington County,KS,55.0
989,20203,Wichita County,KS,51.7
990,20205,Wilson County,KS,45.2
991,20207,Woodson County,KS,43.2
992,20209,Wyandotte County,KS,59.7
993,21001,Adair County,KY,39.9
994,21003,Allen County,KY,40.3
995,21005,Anderson County,KY,57.4
996,21007,Ballard County,KY,39.3
997,21009,Barren County,KY,46.9
998,21011,Bath County,KY,54.9
999,21013,Bell County,KY,46.6
1000,21015,Boone County,KY,63.6
1001,21017,Bourbon County,KY,59.2
1002,21019,Boyd County,KY,50.4
1003,21021,Boyle County,KY,58.0
1004,21023,Bracken County,KY,48.1
1005,21025,Breathitt County,KY,53.5
1006,21027,Breckinridge County,KY,50.3
1007,21029,Bullitt County,KY,46.2
1008,21031,Butler County,KY,46.3
1009,21033,Caldwell County,KY,52.8
1010,21035,Calloway County,KY,46.8
1011,21037,Campbell County,KY,65.2
1012,21039,Carlisle County,KY,41.5
1013,21041,Carroll County,KY,47.5
1014,21043,Carter County,KY,50.0
1015,21045,Casey County,KY,36.9
1016,21047,Christian County,KY,37.5
1017,21049,Clark County,KY,55.7
1018,21051,Clay County,KY,45.6
1019,21053,Clinton County,KY,42.0
1020,21055,Crittenden County,KY,41.7
1021,21057,Cumberland County,KY,45.8
1022,21059,Daviess County,KY,55.0
1023,21061,Edmonson County,KY,35.0
1024,21063,Elliott County,KY,36.3
1025,21065,Estill County,KY,53.2
1026,21067,Fayette County,KY,68.0
1027,21069,Fleming County,KY,52.5
1028,21071,Floyd County,KY,57.9
1029,21073,Franklin County,KY,62.4
1030,21075,Fulton County,KY,60.2
1031,21077,Gallatin County,KY,41.8
1032,21079,Garrard County,KY,48.9
1033,21081,Grant County,KY,50.0
1034,21083,Graves County,KY,46.4
1035,21085,Grayson County,KY,52.4
1036,21087,Green County,KY,44.2
1037,21089,Greenup County,KY,53.5
1038,21091,Hancock County,KY,60.2
1039,21093,Hardin County,KY,66.2
1040,21095,Harlan County,KY,47.1
1041,21097,Harrison County,KY,50.9
1042,21099,Hart County,KY,36.3
1043,21101,Henderson County,KY,52.7
1044,21103,Henry County,KY,54.5
1045,21105,Hickman County,KY,38.1
1046,21107,Hopkins County,KY,52.7
1047,21109,Jackson County,KY,37.4
1048,21111,Jefferson County,KY,65.3
1049,21113,Jessamine County,KY,54.8
1050,21115,Johnson County,KY,51.0
1051,21117,Kenton County,KY,61.8
1052,21119,Knott County,KY,48.6
1053,21121,Knox County,KY,37.3
1054,21123,Larue County,KY,44.3
1055,21125,Laurel County,KY,41.0
1056,21127,Lawrence County,KY,49.3
1057,21129,Lee County,KY,50.4
1058,21131,Leslie County,KY,53.0
1059,21133,Letcher County,KY,53.8
1060,21135,Lewis County,KY,40.2
1061,21137,Lincoln County,KY,41.7
1062,21139,Livingston County,KY,50.2
1063,21141,Logan County,KY,51.9
1064,21143,Lyon County,KY,59.1
1065,21145,McCracken County,KY,56.8
1066,21147,McCreary County,KY,39.8
1067,21149,McLean County,KY,52.2
1068,21151,Madison County,KY,49.0
1069,21153,Magoffin County,KY,51.8
1070,21155,Marion County,KY,51.2
1071,21157,Marshall County,KY,54.5
1072,21159,Martin County,KY,55.0
1073,21161,Mason County,KY,51.8
1074,21163,Meade County,KY,40.1
1075,21165,Menifee County,KY,45.2
1076,21167,Mercer County,KY,55.4
1077,21169,Metcalfe County,KY,41.2
1078,21171,Monroe County,KY,46.9
1079,21173,Montgomery County,KY,47.6
1080,21175,Morgan County,KY,48.9
1081,21177,Muhlenberg County,KY,52.1
1082,21179,Nelson County,KY,53.2
1083,21181,Nicholas County,KY,53.7
1084,21183,Ohio County,KY,40.6
1085,21185,Oldham County,KY,58.4
1086,21187,Owen County,KY,38.3
1087,21189,Owsley County,KY,48.3
1088,21191,Pendleton County,KY,44.9
1089,21193,Perry County,KY,63.0
1090,21195,Pike County,KY,53.5
1091,21197,Powell County,KY,53.7
1092,21199,Pulaski County,KY,47.1
1093,21201,Robertson County,KY,39.2
1094,21203,Rockcastle County,KY,41.2
1095,21205,Rowan County,KY,53.1
1096,21207,Russell County,KY,46.7
1097,21209,Scott County,KY,56.7
1098,21211,Shelby County,KY,47.7
1099,21213,Simpson County,KY,51.7
1100,21215,Spencer County,KY,30.7
1101,21217,Taylor County,KY,48.8
1102,21219,Todd County,KY,43.3
1103,21221,Trigg County,KY,47.9
1104,21223,Trimble County,KY,44.6
1105,21225,Union County,KY,43.2
1106,21227,Warren County,KY,39.5
1107,21229,Washington County,KY,51.9
1108,21231,Wayne County,KY,43.0
1109,21233,Webster County,KY,46.9
1110,21235,Whitley County,KY,45.3
1111,21237,Wolfe County,KY,54.6
1112,21239,Woodford County,KY,67.3
1113,22001,Acadia Parish,LA,53.7
1114,22003,Allen Parish,LA,36.8
1115,22005,Ascension Parish,LA,51.7
1116,22007,Assumption Parish,LA,44.3
1117,22009,Avoyelles Parish,LA,48.4
1118,22011,Beauregard Parish,LA,36.6
1119,22013,Bienville Parish,LA,50.9
1120,22015,Bossier Parish,LA,51.4
1121,22017,Caddo Parish,LA,49.3
1122,22019,Calcasieu Parish,LA,43.3
1123,22021,Caldwell Parish,LA,39.5
1124,22023,Cameron Parish,LA,18.2
1125,22025,Catahoula Parish,LA,41.5
1126,22027,Claiborne Parish,LA,41.5
1127,22029,Concordia Parish,LA,45.2
1128,22031,De Soto Parish,LA,43.4
1129,22033,East Baton Rouge Parish,LA,57.0
1130,22035,East Carroll Parish,LA,47.3
1131,22037,East Feliciana Parish,LA,41.5
1132,22039,Evangeline Parish,LA,39.4
1133,22041,Franklin Parish,LA,37.7
1134,22043,Grant Parish,LA,43.6
1135,22045,Iberia Parish,LA,47.9
1136,22047,Iberville Parish,LA,57.8
1137,22049,Jackson Parish,LA,43.7
1138,22051,Jefferson Parish,LA,66.6
1139,22053,Jefferson Davis Parish,LA,37.4
1140,22055,Lafayette Parish,LA,51.0
1141,22057,Lafourche Parish,LA,45.9
1142,22059,La Salle Parish,LA,46.4
1143,22061,Lincoln Parish,LA,44.1
1144,22063,Livingston Parish,LA,40.6
1145,22065,Madison Parish,LA,47.0
1146,22067,Morehouse Parish,LA,46.9
1147,22069,Natchitoches Parish,LA,44.2
1148,22071,Orleans Parish,LA,71.2
1149,22073,Ouachita Parish,LA,46.2
1150,22075,Plaquemines Parish,LA,70.1
1151,22077,Pointe Coupee Parish,LA,56.3
1152,22079,Rapides Parish,LA,50.9
1153,22081,Red River Parish,LA,37.7
1154,22083,Richland Parish,LA,43.7
1155,22085,Sabine Parish,LA,39.2
1156,22087,St. Bernard Parish,LA,50.0
1157,22089,St. Charles Parish,LA,57.7
1158,22091,St. Helena Parish,LA,32.0
1159,22093,St. James Parish,LA,52.6
1160,22095,St. John the Baptist Parish,LA,61.0
1161,22097,St. Landry Parish,LA,42.7
1162,22099,St. Martin Parish,LA,40.9
1163,22101,St. Mary Parish,LA,45.8
1164,22103,St. Tammany Parish,LA,57.8
1165,22105,Tangipahoa Parish,LA,47.4
1166,22107,Tensas Parish,LA,63.7
1167,22109,Terrebonne Parish,LA,46.3
1168,22111,Union Parish,LA,46.3
1169,22113,Vermilion Parish,LA,38.9
1170,22115,Vernon Parish,LA,58.7
1171,22117,Washington Parish,LA,42.8
1172,22119,Webster Parish,LA,43.9
1173,22121,West Baton Rouge Parish,LA,54.5
1174,22123,West Carroll Parish,LA,41.4
1175,22125,West Feliciana Parish,LA,90.2
1176,22127,Winn Parish,LA,48.5
1177,23001,Androscoggin County,ME,71.9
1178,23003,Aroostook County,ME,70.4
1179,23005,Cumberland County,ME,90.0
1180,23007,Franklin County,ME,65.9
1181,23009,Hancock County,ME,78.8
1182,23011,Kennebec County,ME,73.6
1183,23013,Knox County,ME,86.1
1184,23015,Lincoln County,ME,82.9
1185,23017,Oxford County,ME,70.2
1186,23019,Penobscot County,ME,73.0
1187,23021,Piscataquis County,ME,63.1
1188,23023,Sagadahoc County,ME,81.8
1189,23025,Somerset County,ME,63.3
1190,23027,Waldo County,ME,73.1
1191,23029,Washington County,ME,74.3
1192,23031,York County,ME,81.7
1193,24001,Allegany County,MD,56.5
1194,24003,Anne Arundel County,MD,78.5
1195,24005,Baltimore County,MD,74.2
1196,24009,Calvert County,MD,72.1
1197,24011,Caroline County,MD,58.1
1198,24013,Carroll County,MD,73.3
1199,24015,Cecil County,MD,59.9
1200,24017,Charles County,MD,72.4
1201,24019,Dorchester County,MD,60.7
1202,24021,Frederick County,MD,80.1
1203,24023,Garrett County,MD,51.9
1204,24025,Harford County,MD,71.2
1205,24027,Howard County,MD,87.8
1206,24029,Kent County,MD,66.9
1207,24031,Montgomery County,MD,89.8
1208,24033,Prince George's County,MD,76.9
1209,24035,Queen Anne's County,MD,68.5
1210,24037,St. Mary's County,MD,67.4
1211,24039,Somerset County,MD,51.2
1212,24041,Talbot County,MD,75.1
1213,24043,Washington County,MD,60.9
1214,24045,Wicomico County,MD,57.1
1215,24047,Worcester County,MD,73.3
1216,24510,Baltimore city,MD,65.9
1218,25003,Berkshire County,MA,60.6
1219,25005,Bristol County,MA,67.7
1221,25009,Essex County,MA,76.1
1222,25011,Franklin County,MA,70.3
1223,25013,Hampden County,MA,67.7
1224,25015,Hampshire County,MA,68.7
1225,25017,Middlesex County,MA,81.7
1227,25021,Norfolk County,MA,81.1
1228,25023,Plymouth County,MA,71.8
1229,25025,Suffolk County,MA,75.0
1230,25027,Worcester County,MA,71.9
1231,26001,Alcona County,MI,58.8
1232,26003,Alger County,MI,63.3
1233,26005,Allegan County,MI,53.0
1234,26007,Alpena County,MI,56.4
1235,26009,Antrim County,MI,58.7
1236,26011,Arenac County,MI,51.6
1237,26013,Baraga County,MI,62.3
1238,26015,Barry County,MI,50.0
1239,26017,Bay County,MI,57.9
1240,26019,Benzie County,MI,63.6
1241,26021,Berrien County,MI,57.1
1242,26023,Branch County,MI,45.9
1243,26025,Calhoun County,MI,53.0
1244,26027,Cass County,MI,44.5
1245,26029,Charlevoix County,MI,65.0
1246,26031,Cheboygan County,MI,56.8
1247,26033,Chippewa County,MI,70.7
1248,26035,Clare County,MI,46.8
1249,26037,Clinton County,MI,58.5
1250,26039,Crawford County,MI,51.7
1251,26041,Delta County,MI,62.7
1252,26043,Dickinson County,MI,68.0
1253,26045,Eaton County,MI,57.7
1254,26047,Emmet County,MI,73.1
1255,26049,Genesee County,MI,51.1
1256,26051,Gladwin County,MI,48.3
1257,26053,Gogebic County,MI,65.2
1258,26055,Grand Traverse County,MI,67.6
1259,26057,Gratiot County,MI,46.6
1260,26059,Hillsdale County,MI,39.3
1261,26061,Houghton County,MI,53.4
1262,26063,Huron County,MI,54.7
1263,26065,Ingham County,MI,57.8
1264,26067,Ionia County,MI,47.7
1265,26069,Iosco County,MI,56.7
1266,26071,Iron County,MI,56.6
1267,26073,Isabella County,MI,45.2
1268,26075,Jackson County,MI,53.1
1269,26077,Kalamazoo County,MI,62.5
1270,26079,Kalkaska County,MI,47.0
1271,26081,Kent County,MI,62.3
1272,26083,Keweenaw County,MI,59.5
1273,26085,Lake County,MI,64.9
1274,26087,Lapeer County,MI,47.8
1275,26089,Leelanau County,MI,82.9
1276,26091,Lenawee County,MI,53.7
1277,26093,Livingston County,MI,60.7
1278,26095,Luce County,MI,45.3
1279,26097,Mackinac County,MI,75.4
1280,26099,Macomb County,MI,57.3
1281,26101,Manistee County,MI,60.7
1282,26103,Marquette County,MI,65.3
1283,26105,Mason County,MI,61.4
1284,26107,Mecosta County,MI,42.7
1285,26109,Menominee County,MI,58.7
1286,26111,Midland County,MI,59.8
1287,26113,Missaukee County,MI,49.1
1288,26115,Monroe County,MI,58.2
1289,26117,Montcalm County,MI,43.0
1290,26119,Montmorency County,MI,54.9
1291,26121,Muskegon County,MI,55.8
1292,26123,Newaygo County,MI,45.2
1293,26125,Oakland County,MI,67.0
1294,26127,Oceana County,MI,55.7
1295,26129,Ogemaw County,MI,45.9
1296,26131,Ontonagon County,MI,70.5
1297,26133,Osceola County,MI,42.5
1298,26135,Oscoda County,MI,42.2
1299,26137,Otsego County,MI,55.9
1300,26139,Ottawa County,MI,58.4
1301,26141,Presque Isle County,MI,60.5
1302,26143,Roscommon County,MI,56.8
1303,26145,Saginaw County,MI,53.6
1304,26147,St. Clair County,MI,49.9
1305,26149,St. Joseph County,MI,45.6
1306,26151,Sanilac County,MI,43.0
1307,26153,Schoolcraft County,MI,56.5
1308,26155,Shiawassee County,MI,51.8
1309,26157,Tuscola County,MI,46.4
1310,26159,Van Buren County,MI,58.1
1311,26161,Washtenaw County,MI,72.1
1312,26163,Wayne County,MI,55.0
1313,26165,Wexford County,MI,52.0
1314,27001,Aitkin County,MN,59.9
1315,27003,Anoka County,MN,60.6
1316,27005,Becker County,MN,55.6
1317,27007,Beltrami County,MN,70.3
1318,27009,Benton County,MN,44.8
1319,27011,Big Stone County,MN,64.5
1320,27013,Blue Earth County,MN,61.8
1321,27015,Brown County,MN,66.7
1322,27017,Carlton County,MN,65.6
1323,27019,Carver County,MN,68.5
1324,27021,Cass County,MN,58.2
1325,27023,Chippewa County,MN,54.8
1326,27025,Chisago County,MN,58.5
1327,27027,Clay County,MN,61.8
1328,27029,Clearwater County,MN,42.5
1329,27031,Cook County,MN,81.9
1330,27033,Cottonwood County,MN,56.8
1331,27035,Crow Wing County,MN,57.5
1332,27037,Dakota County,MN,71.0
1333,27039,Dodge County,MN,61.3
1334,27041,Douglas County,MN,58.4
1335,27043,Faribault County,MN,58.2
1336,27045,Fillmore County,MN,69.7
1337,27047,Freeborn County,MN,58.7
1338,27049,Goodhue County,MN,67.6
1339,27051,Grant County,MN,55.9
1340,27053,Hennepin County,MN,75.8
1341,27055,Houston County,MN,61.0
1342,27057,Hubbard County,MN,48.2
1343,27059,Isanti County,MN,43.9
1344,27061,Itasca County,MN,57.4
1345,27063,Jackson County,MN,52.1
1346,27065,Kanabec County,MN,43.7
1347,27067,Kandiyohi County,MN,55.6
1348,27069,Kittson County,MN,60.6
1349,27071,Koochiching County,MN,59.7
1350,27073,Lac qui Parle County,MN,59.9
1351,27075,Lake County,MN,67.3
1352,27077,Lake of the Woods County,MN,56.3
1353,27079,Le Sueur County,MN,50.1
1354,27081,Lincoln County,MN,54.4
1355,27083,Lyon County,MN,57.7
1356,27085,McLeod County,MN,58.8
1357,27087,Mahnomen County,MN,61.5
1358,27089,Marshall County,MN,50.7
1359,27091,Martin County,MN,56.3
1360,27093,Meeker County,MN,48.8
1361,27095,Mille Lacs County,MN,59.1
1362,27097,Morrison County,MN,50.7
1363,27099,Mower County,MN,63.4
1364,27101,Murray County,MN,55.5
1365,27103,Nicollet County,MN,63.6
1366,27105,Nobles County,MN,62.5
1367,27107,Norman County,MN,61.1
1368,27109,Olmsted County,MN,78.5
1369,27111,Otter Tail County,MN,51.8
1370,27113,Pennington County,MN,54.3
1371,27115,Pine County,MN,49.9
1372,27117,Pipestone County,MN,55.6
1373,27119,Polk County,MN,59.2
1374,27121,Pope County,MN,58.3
1375,27123,Ramsey County,MN,73.3
1376,27125,Red Lake County,MN,57.2
1377,27127,Redwood County,MN,55.4
1378,27129,Renville County,MN,55.7
1379,27131,Rice County,MN,64.2
1380,27133,Rock County,MN,55.8
1381,27135,Roseau County,MN,52.7
1382,27137,St. Louis County,MN,68.0
1383,27139,Scott County,MN,70.8
1384,27141,Sherburne County,MN,47.1
1385,27143,Sibley County,MN,49.9
1386,27145,Stearns County,MN,60.2
1387,27147,Steele County,MN,61.9
1388,27149,Stevens County,MN,59.0
1389,27151,Swift County,MN,58.7
1390,27153,Todd County,MN,43.7
1391,27155,Traverse County,MN,65.3
1392,27157,Wabasha County,MN,75.8
1393,27159,Wadena County,MN,50.5
1394,27161,Waseca County,MN,58.0
1395,27163,Washington County,MN,71.8
1396,27165,Watonwan County,MN,59.4
1397,27167,Wilkin County,MN,56.3
1398,27169,Winona County,MN,66.4
1399,27171,Wright County,MN,55.9
1400,27173,Yellow Medicine County,MN,57.6
1401,28001,Adams County,MS,56.3
1402,28003,Alcorn County,MS,40.2
1403,28005,Amite County,MS,41.0
1404,28007,Attala County,MS,55.5
1405,28009,Benton County,MS,53.3
1406,28011,Bolivar County,MS,60.4
1407,28013,Calhoun County,MS,45.3
1408,28015,Carroll County,MS,42.5
1409,28017,Chickasaw County,MS,49.5
1410,28019,Choctaw County,MS,37.1
1411,28021,Claiborne County,MS,55.9
1412,28023,Clarke County,MS,58.3
1413,28025,Clay County,MS,48.0
1414,28027,Coahoma County,MS,53.1
1415,28029,Copiah County,MS,55.6
1416,28031,Covington County,MS,56.1
1417,28033,DeSoto County,MS,56.6
1418,28035,Forrest County,MS,44.9
1419,28037,Franklin County,MS,49.1
1420,28039,George County,MS,41.0
1421,28041,Greene County,MS,37.8
1422,28043,Grenada County,MS,53.7
1423,28045,Hancock County,MS,45.4
1424,28047,Harrison County,MS,56.6
1425,28049,Hinds County,MS,59.6
1426,28051,Holmes County,MS,61.5
1427,28053,Humphreys County,MS,60.2
1428,28055,Issaquena County,MS,44.4
1429,28057,Itawamba County,MS,35.4
1430,28059,Jackson County,MS,48.7
1431,28061,Jasper County,MS,52.1
1432,28063,Jefferson County,MS,72.3
1433,28065,Jefferson Davis County,MS,46.4
1434,28067,Jones County,MS,44.4
1435,28069,Kemper County,MS,47.6
1436,28071,Lafayette County,MS,55.8
1437,28073,Lamar County,MS,60.6
1438,28075,Lauderdale County,MS,52.3
1439,28077,Lawrence County,MS,56.5
1440,28079,Leake County,MS,50.1
1441,28081,Lee County,MS,44.5
1442,28083,Leflore County,MS,63.4
1443,28085,Lincoln County,MS,39.9
1444,28087,Lowndes County,MS,52.3
1445,28089,Madison County,MS,64.8
1446,28091,Marion County,MS,47.2
1447,28093,Marshall County,MS,56.4
1448,28095,Monroe County,MS,51.5
1449,28097,Montgomery County,MS,56.5
1450,28099,Neshoba County,MS,43.0
1451,28101,Newton County,MS,54.7
1452,28103,Noxubee County,MS,56.4
1453,28105,Oktibbeha County,MS,52.2
1454,28107,Panola County,MS,48.8
1455,28109,Pearl River County,MS,49.2
1456,28111,Perry County,MS,38.7
1457,28113,Pike County,MS,51.9
1458,28115,Pontotoc County,MS,42.4
1459,28117,Prentiss County,MS,43.6
1460,28119,Quitman County,MS,55.2
1461,28121,Rankin County,MS,52.2
1462,28123,Scott County,MS,51.6
1463,28125,Sharkey County,MS,57.3
1464,28127,Simpson County,MS,46.3
1465,28129,Smith County,MS,35.0
1466,28131,Stone County,MS,47.0
1467,28133,Sunflower County,MS,54.2
1468,28135,Tallahatchie County,MS,42.4
1469,28137,Tate County,MS,46.0
1470,28139,Tippah County,MS,42.9
1471,28141,Tishomingo County,MS,39.5
1472,28143,Tunica County,MS,53.3
1473,28145,Union County,MS,40.1
1474,28147,Walthall County,MS,42.4
1475,28149,Warren County,MS,58.8
1476,28151,Washington County,MS,52.1
1477,28153,Wayne County,MS,39.8
1478,28155,Webster County,MS,49.0
1479,28157,Wilkinson County,MS,67.4
1480,28159,Winston County,MS,49.1
1481,28161,Yalobusha County,MS,66.7
1482,28163,Yazoo County,MS,50.6
1483,29001,Adair County,MO,46.6
1484,29003,Andrew County,MO,39.6
1485,29005,Atchison County,MO,57.3
1486,29007,Audrain County,MO,38.8
1487,29009,Barry County,MO,45.4
1488,29011,Barton County,MO,33.9
1489,29013,Bates County,MO,39.6
1490,29015,Benton County,MO,49.0
1491,29017,Bollinger County,MO,33.8
1492,29019,Boone County,MO,63.3
1493,29021,Buchanan County,MO,39.5
1494,29023,Butler County,MO,35.3
1495,29025,Caldwell County,MO,39.8
1496,29027,Callaway County,MO,48.8
1497,29029,Camden County,MO,46.3
1498,29031,Cape Girardeau County,MO,50.0
1499,29033,Carroll County,MO,50.1
1500,29035,Carter County,MO,33.5
1501,29037,Cass County,MO,53.4
1502,29039,Cedar County,MO,32.4
1503,29041,Chariton County,MO,38.6
1504,29043,Christian County,MO,46.8
1505,29045,Clark County,MO,32.1
1506,29047,Clay County,MO,55.3
1507,29049,Clinton County,MO,48.3
1508,29051,Cole County,MO,53.8
1509,29053,Cooper County,MO,45.5
