,fips,Recip_County,ST,Vax_Pct
167,5113,Polk County,AR,37.3
168,5115,Pope County,AR,50.7
169,5117,Prairie County,AR,45.1
170,5119,Pulaski County,AR,61.3
171,5121,Randolph County,AR,42.9
172,5123,St. Francis County,AR,51.5
173,5125,Saline County,AR,53.4
174,5127,Scott County,AR,49.6
175,5129,Searcy County,AR,39.8
176,5131,Sebastian County,AR,51.7
177,5133,Sevier County,AR,47.2
178,5135,Sharp County,AR,41.4
179,5137,Stone County,AR,38.3
180,5139,Union County,AR,50.5
181,5141,Van Buren County,AR,43.2
182,5143,Washington County,AR,58.6
183,5145,White County,AR,45.1
184,5147,Woodruff County,AR,57.4
185,5149,Yell County,AR,50.6
186,6001,Alameda County,CA,83.9
188,6005,Amador County,CA,54.6
189,6007,Butte County,CA,54.7
190,6009,Calaveras County,CA,55.6
191,6011,Colusa County,CA,62.2
192,6013,Contra Costa County,CA,83.2
193,6015,Del Norte County,CA,44.5
194,6017,El Dorado County,CA,63.7
195,6019,Fresno County,CA,62.5
196,6021,Glenn County,CA,56.4
197,6023,Humboldt County,CA,67.2
198,6025,Imperial County,CA,95.0
200,6029,Kern County,CA,54.8
201,6031,Kings County,CA,51.4
202,6033,Lake County,CA,60.4
203,6035,Lassen County,CA,38.4
204,6037,Los Angeles County,CA,73.6
205,6039,Madera County,CA,55.2
206,6041,Marin County,CA,90.7
208,6045,Mendocino County,CA,68.7
209,6047,Merced County,CA,52.2
212,6053,Monterey County,CA,74.3
213,6055,Napa County,CA,79.5
214,6057,Nevada County,CA,65.1
215,6059,Orange County,CA,73.3
216,6061,Placer County,CA,68.7
218,6065,Riverside County,CA,60.7
219,6067,Sacramento County,CA,69.1
220,6069,San Benito County,CA,68.6
221,6071,San Bernardino County,CA,59.1
222,6073,San Diego County,CA,77.9
223,6075,San Francisco County,CA,85.3
224,6077,San Joaquin County,CA,60.9
225,6079,San Luis Obispo County,CA,61.8
226,6081,San Mateo County,CA,85.7
227,6083,Santa Barbara County,CA,72.4
228,6085,Santa Clara County,CA,87.8
229,6087,Santa Cruz County,CA,80.0
230,6089,Shasta County,CA,50.8
232,6093,Siskiyou County,CA,54.9
233,6095,Solano County,CA,69.7
234,6097,Sonoma County,CA,79.7
235,6099,Stanislaus County,CA,55.8
236,6101,Sutter County,CA,62.2
237,6103,Tehama County,CA,43.8
239,6107,Tulare County,CA,55.3
240,6109,Tuolumne County,CA,57.8
241,6111,Ventura County,CA,73.3
242,6113,Yolo County,CA,71.7
243,6115,Yuba County,CA,55.7
244,8001,Adams County,CO,69.8
245,8003,Alamosa County,CO,57.5
246,8005,Arapahoe County,CO,69.7
247,8007,Archuleta County,CO,58.5
248,8009,Baca County,CO,40.0
249,8011,Bent County,CO,27.1
250,8013,Boulder County,CO,80.1
251,8014,Broomfield County,CO,82.0
252,8015,Chaffee County,CO,65.0
253,8017,Cheyenne County,CO,34.1
254,8019,Clear Creek County,CO,50.0
