,fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
177,5113,AR,4.4,"42,915"
178,5115,AR,4.0,"46,350"
179,5117,AR,3.7,"48,478"
180,5119,AR,4.9,"56,171"
181,5121,AR,3.9,"46,495"
182,5123,AR,6.2,"37,759"
183,5125,AR,3.1,"70,550"
184,5127,AR,3.3,"41,230"
185,5129,AR,4.2,"33,814"
186,5131,AR,3.7,"48,627"
187,5133,AR,4.4,"45,838"
188,5135,AR,4.9,"40,437"
189,5137,AR,5.0,"36,148"
190,5139,AR,6.1,"47,857"
191,5141,AR,4.9,"42,345"
192,5143,AR,2.9,"57,712"
193,5145,AR,4.0,"43,765"
194,5147,AR,5.0,"37,634"
195,5149,AR,4.0,"48,728"
196,6000,CA,7.3,"83,001"
197,6001,CA,6.1,"113,518"
198,6003,CA,8.1,"64,542"
199,6005,CA,7.0,"68,141"
200,6007,CA,6.9,"54,718"
201,6009,CA,5.7,"66,329"
202,6011,CA,12.5,"59,422"
203,6013,CA,6.4,"106,484"
204,6015,CA,7.6,"47,442"
205,6017,CA,5.7,"87,792"
206,6019,CA,9.2,"61,401"
207,6021,CA,6.9,"57,779"
208,6023,CA,6.2,"56,071"
209,6025,CA,17.3,"47,599"
210,6027,CA,5.9,"55,981"
211,6029,CA,10.0,"58,583"
212,6031,CA,9.6,"60,319"
213,6033,CA,7.6,"52,345"
214,6035,CA,5.9,"63,803"
215,6037,CA,8.9,"75,624"
216,6039,CA,8.8,"68,744"
217,6041,CA,4.5,"127,601"
218,6043,CA,8.0,"56,887"
219,6045,CA,6.2,"53,176"
220,6047,CA,10.4,"58,998"
221,6049,CA,7.1,"46,838"
222,6051,CA,6.8,"73,204"
223,6053,CA,8.3,"85,031"
224,6055,CA,6.0,"92,149"
225,6057,CA,5.6,"74,158"
226,6059,CA,6.0,"98,786"
227,6061,CA,5.0,"100,662"
228,6063,CA,9.5,"58,489"
229,6065,CA,7.3,"76,409"
230,6067,CA,7.0,"72,953"
231,6069,CA,7.2,"91,185"
232,6071,CA,7.4,"65,984"
233,6073,CA,6.5,"87,126"
234,6075,CA,5.0,"121,722"
235,6077,CA,8.7,"70,685"
236,6079,CA,5.2,"79,455"
237,6081,CA,4.6,"132,369"
238,6083,CA,5.8,"86,136"
239,6085,CA,4.7,"139,462"
240,6087,CA,6.9,"93,015"
241,6089,CA,6.8,"59,108"
242,6091,CA,6.0,"59,422"
243,6093,CA,8.1,"49,441"
244,6095,CA,7.5,"83,678"
245,6097,CA,5.5,"87,366"
246,6099,CA,8.4,"64,501"
247,6101,CA,9.0,"65,791"
248,6103,CA,7.2,"61,571"
249,6105,CA,6.3,"45,113"
250,6107,CA,10.7,"62,058"
251,6109,CA,7.3,"63,336"
252,6111,CA,6.2,"90,961"
253,6113,CA,5.8,"80,668"
254,6115,CA,8.5,"56,278"
255,8000,CO,5.4,"77,688"
256,8001,CO,6.2,"73,615"
257,8003,CO,5.5,"50,390"
258,8005,CO,5.8,"82,381"
259,8007,CO,4.9,"63,961"
260,8009,CO,2.1,"42,531"
261,8011,CO,6.1,"50,688"
262,8013,CO,4.4,"88,289"
263,8014,CO,4.5,"106,263"
264,8015,CO,4.0,"64,220"
265,8017,CO,2.3,"56,383"
266,8019,CO,5.5,"79,422"
267,8021,CO,4.8,"39,822"
268,8023,CO,6.0,"35,639"
269,8025,CO,5.2,"36,836"
270,8027,CO,4.0,"60,485"
271,8029,CO,5.3,"53,553"
272,8031,CO,5.9,"75,355"
273,8033,CO,4.7,"50,821"
274,8035,CO,4.1,"122,290"
275,8037,CO,4.4,"94,309"
276,8039,CO,3.8,"107,139"
277,8041,CO,5.6,"72,459"
278,8043,CO,6.9,"52,414"
279,8045,CO,4.7,"79,958"
280,8047,CO,6.2,"79,622"
281,8049,CO,4.2,"74,484"
282,8051,CO,3.7,"68,214"
283,8053,CO,3.6,"63,034"
284,8055,CO,8.2,"49,502"
285,8057,CO,3.3,"55,430"
286,8059,CO,5.0,"90,097"
287,8061,CO,3.3,"49,179"
288,8063,CO,3.0,"54,642"
289,8065,CO,4.4,"61,518"
290,8067,CO,5.2,"66,080"
291,8069,CO,4.7,"80,344"
292,8071,CO,6.5,"46,281"
293,8073,CO,4.2,"50,169"
294,8075,CO,4.4,"55,717"
295,8077,CO,5.7,"64,141"
296,8079,CO,5.0,"58,004"
297,8081,CO,4.8,"63,128"
298,8083,CO,5.6,"54,053"
299,8085,CO,5.0,"59,764"
300,8087,CO,4.9,"63,297"
301,8089,CO,6.1,"46,235"
