fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
6111,CA,6.2,90961
6113,CA,5.8,80668
6115,CA,8.5,56278
8001,CO,6.2,73615
8003,CO,5.5,50390
8005,CO,5.8,82381
8007,CO,4.9,63961
8009,CO,2.1,42531
8011,CO,6.1,50688
8013,CO,4.4,88289
8014,CO,4.5,106263
8015,CO,4.0,64220
8017,CO,2.3,56383
8019,CO,5.5,79422
8021,CO,4.8,39822
8023,CO,6.0,35639
8025,CO,5.2,36836
8027,CO,4.0,60485
8029,CO,5.3,53553
8031,CO,5.9,75355
8033,CO,4.7,50821
8035,CO,4.1,122290
8037,CO,4.4,94309
8039,CO,3.8,107139
8041,CO,5.6,72459
8043,CO,6.9,52414
8045,CO,4.7,79958
8047,CO,6.2,79622
8049,CO,4.2,74484
8051,CO,3.7,68214
8053,CO,3.6,63034
8055,CO,8.2,49502
8057,CO,3.3,55430
8059,CO,5.0,90097
8061,CO,3.3,49179
8063,CO,3.0,54642
8065,CO,4.4,61518
8067,CO,5.2,66080
8069,CO,4.7,80344
8071,CO,6.5,46281
8073,CO,4.2,50169
8075,CO,4.4,55717
8077,CO,5.7,64141
8079,CO,5.0,58004
8081,CO,4.8,63128
8083,CO,5.6,54053
8085,CO,5.0,59764
8087,CO,4.9,63297
8089,CO,6.1,46235
8091,CO,4.5,74492
8093,CO,4.1,77598
8095,CO,2.9,57385
8097,CO,5.5,93634
8099,CO,4.5,47463
8101,CO,7.9,50885
8103,CO,5.5,64039
8105,CO,6.5,51416
8107,CO,4.2,82330
8109,CO,5.9,56012
8111,CO,3.5,54387
8113,CO,5.0,77099
8115,CO,3.7,43354
8117,CO,4.0,91079
8119,CO,4.9,62845
8121,CO,3.2,59174
8123,CO,5.7,77937
8125,CO,2.7,82124
9001,CT,6.1,98828
9003,CT,6.5,73476
9005,CT,5.5,79512
9007,CT,5.2,89970
9009,CT,6.6,72517
9011,CT,6.9,77202
9013,CT,5.1,87247
9015,CT,6.2,66349
10001,DE,6.2,61538
10003,DE,5.3,75145
10005,DE,4.8,69829
11001,DC,6.6,91957
12001,FL,3.7,51995
12003,FL,3.7,61514
12005,FL,3.9,61332
12007,FL,4.2,48260
12009,FL,4.0,65871
12011,FL,4.9,63901
12013,FL,4.5,43994
12015,FL,4.4,58368
12017,FL,5.7,48574
12019,FL,3.5,72520
12021,FL,3.7,81895
12023,FL,4.5,46670
12027,FL,3.8,45807
12029,FL,4.3,41450
12031,FL,4.5,55202
12033,FL,4.5,57089
12035,FL,4.6,67054
12037,FL,3.8,47206
12039,FL,5.4,42698
12041,FL,3.7,52000
12043,FL,4.2,45328
12045,FL,3.6,51593
12047,FL,6.0,41871
12049,FL,4.8,46264
12051,FL,6.1,45652
12053,FL,5.1,52108
12055,FL,5.9,48922
12057,FL,4.3,65272
12059,FL,4.1,41969
12061,FL,4.7,72934
12063,FL,4.6,44108
12065,FL,4.2,54354
12067,FL,4.0,41635
12069,FL,4.7,58501
12071,FL,4.2,66140
12073,FL,4.2,61403
12075,FL,4.5,41894
12077,FL,4.2,46734
12079,FL,4.9,41650
12081,FL,3.9,63328
12083,FL,4.9,48553
12085,FL,3.6,72736
12086,FL,5.2,59259
12087,FL,3.0,68584
12089,FL,3.4,75123
12091,FL,3.3,65977
12093,FL,4.1,48028
12095,FL,5.2,69074
12097,FL,6.3,63018
12099,FL,4.3,68200
12101,FL,4.4,52332
12103,FL,4.0,61532
12105,FL,5.4,54591
12107,FL,6.1,36527
12109,FL,3.0,94343
12111,FL,4.9,59023
12113,FL,3.5,71583
12115,FL,3.8,66138
12117,FL,4.1,71930
12119,FL,5.3,60278
12121,FL,4.5,46264
12123,FL,5.0,45527
12125,FL,3.7,49313
12127,FL,4.6,55463
12129,FL,3.2,64671
12131,FL,3.5,74108
12133,FL,4.5,44661
13001,GA,3.6,44871
13003,GA,2.9,39633
13005,GA,3.2,41756
13007,GA,4.9,43696
13009,GA,4.8,49350
13011,GA,2.6,62836
13013,GA,2.9,64460
13015,GA,3.5,64980
13017,GA,5.2,39305
13019,GA,3.7,45094
13021,GA,5.0,44467
13023,GA,5.0,51448
13025,GA,3.6,39256
13027,GA,3.7,42973
13029,GA,2.9,81890
13031,GA,4.1,48629
13033,GA,5.8,44870
13035,GA,3.6,52720
13037,GA,4.0,37984
13039,GA,3.2,67525
13043,GA,3.0,42583
13045,GA,3.7,64554
13047,GA,2.7,61906
13049,GA,3.2,46061
13051,GA,4.3,56357
13053,GA,4.5,51811
13055,GA,4.8,44399
13057,GA,2.6,90675
13059,GA,3.8,46693
13061,GA,10.2,35937
13063,GA,6.5,49370
13065,GA,2.9,43088
13067,GA,3.3,81517
13069,GA,4.1,44520
13071,GA,3.2,41673
13073,GA,2.7,87489
13075,GA,3.4,35225
13077,GA,3.4,84121
13079,GA,3.7,48184
13081,GA,8.6,36871
13083,GA,2.6,41069
13085,GA,2.7,75081
13087,GA,3.7,42996
13089,GA,4.6,69545
13091,GA,4.2,42683
13093,GA,7.3,45112
13095,GA,6.4,40793
13097,GA,4.4,65269
13099,GA,5.0,39697
13101,GA,2.7,45378
13103,GA,2.9,77690
13105,GA,4.9,43553
13107,GA,5.3,36243
13109,GA,3.5,51018
13111,GA,2.8,44730
13113,GA,2.9,98623
13115,GA,3.7,47423
13117,GA,2.5,116690
13119,GA,3.7,47706
13121,GA,4.7,71504
13123,GA,3.0,66066
13125,GA,2.6,50800
13127,GA,3.8,59286
13129,GA,3.2,54915
13131,GA,3.1,54601
13133,GA,3.7,61857
13135,GA,3.5,73460
13137,GA,3.6,61071
13139,GA,2.7,67735
13141,GA,6.4,36424
13143,GA,3.5,51431
13145,GA,2.9,81151
13147,GA,3.9,52401
13149,GA,3.9,51532
13151,GA,4.2,69620
13153,GA,3.6,69442
13155,GA,4.5,47492
13157,GA,2.4,70960
13159,GA,3.2,57796
13161,GA,4.0,44417
13163,GA,4.7,40333
13165,GA,4.7,38306
13167,GA,3.5,36358
13169,GA,3.1,64812
13171,GA,4.2,55024
13173,GA,3.8,35215
13175,GA,4.3,46690
13177,GA,3.1,74640
13179,GA,4.0,49788
13181,GA,4.0,47883
13183,GA,3.0,53841
13185,GA,4.1,48864
13187,GA,2.8,63822
13189,GA,5.2,48392
13191,GA,3.7,48097
13193,GA,6.3,35997
13195,GA,3.1,50619
13197,GA,3.6,46792
13199,GA,5.3,45095
13201,GA,3.0,51855
13205,GA,5.0,38256
13207,GA,3.1,65599
13209,GA,4.1,47074
13211,GA,3.2,68343
13213,GA,4.3,58761
13215,GA,5.3,44959
13217,GA,4.4,62183
13219,GA,2.2,104519
13221,GA,2.9,55678
13223,GA,3.0,77755
13225,GA,4.7,51531
13227,GA,2.8,69781
13229,GA,3.1,51696
13231,GA,2.8,64986
13233,GA,3.6,51040
13235,GA,3.6,44019
13237,GA,4.0,56104
13239,GA,4.9,37735
13241,GA,3.1,53038
13243,GA,5.2,36064
13245,GA,5.3,43942
13247,GA,4.6,61332
13249,GA,3.7,53163
13251,GA,5.6,44061
13253,GA,3.7,41778
13255,GA,4.7,51019
13257,GA,4.3,46626
13259,GA,3.8,40205
13261,GA,5.7,42653
13263,GA,4.5,44458
13265,GA,5.0,28004
13267,GA,3.2,45191
13269,GA,5.7,38783
13271,GA,7.2,38161
13273,GA,6.2,39433
13275,GA,4.2,57969
13277,GA,3.4,45093
13279,GA,4.5,42165
13281,GA,3.9,43640
13283,GA,4.3,40834
13285,GA,4.4,51799
13287,GA,6.4,46042
13289,GA,5.1,46444
13291,GA,2.7,50653
13293,GA,4.0,48233
13295,GA,3.1,49388
13297,GA,3.2,71390
13299,GA,3.7,39994
13301,GA,4.7,40422
13303,GA,5.0,43309
13305,GA,3.7,48885
13307,GA,4.4,45381
13309,GA,5.5,36671
13311,GA,2.5,58831
13313,GA,3.9,56249
13315,GA,4.6,40856
13317,GA,4.7,42071
13319,GA,4.2,44068
13321,GA,4.0,47907
15001,HI,5.5,70313
15003,HI,5.3,89584
15007,HI,7.8,80517
15009,HI,7.3,80763
16001,ID,3.3,73324
16003,ID,6.6,49967
16005,ID,3.6,54538
16007,ID,3.0,55689
16009,ID,5.6,53014
16011,ID,3.2,65658
16013,ID,3.6,76301
16015,ID,5.4,55583
16017,ID,4.8,55241
16019,ID,2.9,67294
16021,ID,4.4,52193
16023,ID,3.8,52081
16025,ID,3.4,59409
16027,ID,4.0,57886
16029,ID,3.1,63719
16031,ID,2.9,64591
16033,ID,3.2,52182
16035,ID,6.5,45377
16037,ID,4.7,53278
16039,ID,3.7,49450
16041,ID,2.5,65396
16043,ID,2.9,58658
16045,ID,4.1,60526
16047,ID,3.1,57728
16049,ID,4.9,51201
16051,ID,2.7,66806
16053,ID,3.3,57342
16055,ID,4.3,66959
16057,ID,3.3,59834
16059,ID,5.3,48908
16061,ID,5.7,52255
16063,ID,4.4,58806
16065,ID,2.2,53727
16067,ID,3.1,56022
16069,ID,3.3,57839
16071,ID,2.5,69357
16073,ID,4.3,53910
16075,ID,4.0,60177
16077,ID,3.8,45404
16079,ID,6.6,44336
16081,ID,2.9,74935
16083,ID,3.6,54995
16085,ID,5.3,62600
16087,ID,4.4,49186
17001,IL,3.9,57434
17003,IL,8.1,38315
17005,IL,4.6,58209
17007,IL,8.5,82318
17009,IL,2.5,52277
17011,IL,5.0,57728
17013,IL,4.8,61648
17015,IL,4.2,53965
17017,IL,4.9,54205
17019,IL,4.8,64387
17021,IL,5.4,56656
17023,IL,5.0,59633
17025,IL,5.5,59602
17027,IL,3.4,71883
17029,IL,5.1,46900
17031,IL,7.0,71611
17033,IL,5.0,57632
17035,IL,4.2,68683
17037,IL,5.6,68546
17039,IL,4.9,65526
17041,IL,3.7,63003
17043,IL,4.5,92101
17045,IL,4.0,52668
17047,IL,5.1,55832
17049,IL,3.9,65172
17051,IL,5.1,49030
17053,IL,4.4,58478
17055,IL,6.6,49834
17057,IL,5.7,48828
17059,IL,6.1,44282
17061,IL,4.6,51242
17063,IL,5.3,74935
17065,IL,4.3,49302
17067,IL,4.3,54076
17069,IL,6.7,39674
17071,IL,4.0,58577
17073,IL,4.9,63859
17075,IL,4.7,53633
17077,IL,5.4,45608
17079,IL,4.3,57969
17081,IL,6.2,58114
17083,IL,4.4,69341
17085,IL,4.4,56446
17087,IL,6.0,51607
17089,IL,5.9,83784
17091,IL,6.5,57413
17093,IL,4.7,97263
17095,IL,6.6,52881
17097,IL,5.3,100325
17099,IL,6.0,62714
17101,IL,6.1,47408
17103,IL,4.5,64310
17105,IL,4.9,66274
17107,IL,4.8,65255
17109,IL,4.9,52155
17111,IL,4.7,89730
17113,IL,4.6,71919
17115,IL,7.7,57601
17117,IL,4.5,53312
17119,IL,4.9,63903
17121,IL,5.8,52019
17123,IL,5.6,54022
17125,IL,5.4,53503
17127,IL,5.8,49054
17129,IL,4.1,69749
17131,IL,4.9,62857
17133,IL,3.1,90880
17135,IL,5.4,59497
17137,IL,5.0,54764
17139,IL,3.5,61022
17141,IL,5.8,71470
17143,IL,7.2,53506
17145,IL,5.8,55132
17147,IL,4.0,69521
17149,IL,4.1,48815
17151,IL,5.1,49071
17153,IL,9.3,40481
17155,IL,5.0,70070
17157,IL,4.3,56867
17159,IL,4.3,56900
17161,IL,5.6,58022
17163,IL,6.1,61863
17165,IL,6.6,45793
17167,IL,5.5,60541
17169,IL,3.9,53686
17171,IL,5.1,59285
17173,IL,4.2,64508
17175,IL,5.5,54219
17177,IL,5.5,57952
17179,IL,5.0,69874
17181,IL,5.7,55736
17183,IL,6.5,49678
17185,IL,4.5,56190
17187,IL,4.6,57964
17189,IL,3.0,69386
17191,IL,4.7,49649
17193,IL,5.0,46080
17195,IL,4.8,64413
17197,IL,5.7,90349
17199,IL,5.5,59174
17201,IL,8.4,54971
17203,IL,4.0,72980
18001,IN,2.2,58602
18003,IN,3.7,61039
18005,IN,2.9,70545
18007,IN,2.7,59663
18009,IN,3.7,49105
18011,IN,2.1,92302
18013,IN,3.2,70930
18015,IN,2.9,62388
18017,IN,3.6,50419
18019,IN,3.2,65555
18021,IN,3.6,56422
18023,IN,2.8,59503
18025,IN,3.7,46884
18027,IN,2.3,53101
18029,IN,3.0,73459
18031,IN,2.8,61561
18033,IN,2.7,62411
18035,IN,3.9,46612
18037,IN,2.4,64120
18039,IN,2.5,66801
18041,IN,4.4,53616
18043,IN,2.8,70610
18045,IN,2.9,55627
18047,IN,2.7,71828
18049,IN,3.3,55895
18051,IN,2.5,59074
18053,IN,3.7,49788
18055,IN,3.4,55213
18057,IN,2.2,96359
18059,IN,2.6,77916
18061,IN,2.7,62082
18063,IN,2.5,86905
18065,IN,3.2,54002
18067,IN,6.2,59309
18069,IN,3.0,59252
18071,IN,3.0,62415
18073,IN,3.5,70662
18075,IN,2.7,42504
18077,IN,3.1,55588
18079,IN,3.7,60526
18081,IN,2.6,76868
18083,IN,2.8,44842
18085,IN,2.7,62269
18087,IN,2.0,72513
18089,IN,6.1,59158
18091,IN,5.1,63999
18093,IN,3.5,63904
18095,IN,4.1,51718
18097,IN,4.4,56185
18099,IN,2.7,57657
18101,IN,2.5,46486
18103,IN,4.4,54439
18105,IN,2.9,61808
18107,IN,2.6,58867
18109,IN,2.9,67004
18111,IN,3.8,59246
18113,IN,3.3,62173
18115,IN,2.5,63210
18117,IN,4.2,52029
18119,IN,3.6,53893
18121,IN,2.9,54125
18123,IN,3.1,44011
18125,IN,3.4,58220
18127,IN,3.9,78732
18129,IN,2.6,63801
18131,IN,2.9,52609
18133,IN,3.1,66613
18135,IN,2.9,67178
18137,IN,2.8,58849
18139,IN,2.8,67318
18141,IN,4.2,60070
18143,IN,3.9,59286
18145,IN,3.0,59252
18147,IN,2.7,66667
18149,IN,4.3,51996
18151,IN,2.5,62273
18153,IN,3.8,45227
18155,IN,3.5,55618
18157,IN,3.3,52806
18159,IN,3.0,76368
18161,IN,2.4,59098
18163,IN,3.6,49482
18165,IN,4.0,52433
18167,IN,4.3,45897
18169,IN,2.9,55750
18171,IN,2.6,68135
18173,IN,2.6,82453
18175,IN,3.1,49494
18177,IN,3.6,49798
18179,IN,2.6,66597
18181,IN,2.6,57787
18183,IN,2.7,61841
19001,IA,3.1,55265
19003,IA,3.0,56291
19005,IA,4.6,55320
19007,IA,4.3,49737
19009,IA,3.2,56338
19011,IA,4.5,72308
19013,IA,4.6,56091
19015,IA,3.5,70656
19017,IA,3.2,74596
19019,IA,3.7,66852
19021,IA,3.2,61189
19023,IA,3.8,54822
19025,IA,3.9,62000
19027,IA,3.1,61701
19029,IA,3.7,55301
19031,IA,3.8,68592
19033,IA,4.3,57659
19035,IA,3.4,61360
19037,IA,3.6,63869
19039,IA,4.3,69923
19041,IA,3.6,59940
19043,IA,5.1,56256
19045,IA,5.3,56017
19047,IA,5.2,56707
19049,IA,2.9,92025
19051,IA,3.3,57225
19053,IA,3.3,46373
19055,IA,3.3,66364
19057,IA,6.3,55153
19059,IA,3.9,67477
19061,IA,4.4,65986
19063,IA,4.1,57652
19065,IA,4.7,53254
19067,IA,4.3,60790
19069,IA,3.7,59596
19071,IA,2.9,62234
19073,IA,3.4,54857
19075,IA,3.6,71837
19077,IA,4.2,65344
19079,IA,4.2,61650
19081,IA,3.8,58053
19083,IA,4.2,58502
19085,IA,3.9,63118
19087,IA,4.2,56260
19089,IA,3.8,60034
19091,IA,3.5,62071
19093,IA,3.2,56096
19095,IA,3.8,67820
19097,IA,5.0,61538
19099,IA,4.3,63458
19101,IA,4.2,52830
19103,IA,3.7,68790
19105,IA,4.5,61736
19107,IA,4.4,54790
19109,IA,3.3,65006
19111,IA,5.9,58619
19113,IA,5.0,69559
19115,IA,4.3,72404
19117,IA,3.1,48662
19119,IA,2.3,67280
19121,IA,4.5,75563
19123,IA,3.7,59704
19125,IA,3.1,64327
19127,IA,6.5,64341
19129,IA,3.5,76010
19131,IA,3.0,67127
19133,IA,4.4,58079
19135,IA,4.1,58297
19137,IA,4.1,54767
19139,IA,4.7,62877
19141,IA,3.0,63559
19143,IA,2.4,63695
19145,IA,4.1,52739
19147,IA,3.3,63164
19149,IA,3.0,72261
19151,IA,3.1,56360
19153,IA,4.5,67821
19155,IA,4.3,61607
19157,IA,4.4,60023
19159,IA,3.4,53466
19161,IA,3.3,54107
19163,IA,5.4,67038
19165,IA,3.2,54234
19167,IA,2.4,74868
19169,IA,3.0,61341
19171,IA,4.7,58329
19173,IA,3.1,70519
19175,IA,4.5,48862
19177,IA,3.8,51908
19179,IA,5.0,49060
19181,IA,3.7,82206
19183,IA,3.8,65061
19185,IA,3.7,52016
19187,IA,4.6,58355
19189,IA,4.2,52706
19191,IA,4.1,61813
19193,IA,4.3,60553
19195,IA,4.2,54474
19197,IA,4.1,57133
20001,KS,3.0,48616
20003,KS,2.5,53936
20005,KS,3.8,56691
20007,KS,1.9,52749
20009,KS,2.9,51149
20011,KS,3.7,49821
20013,KS,2.7,49483
20015,KS,3.5,71827
20017,KS,2.4,57338
20019,KS,4.0,43155
20021,KS,2.9,48336
20023,KS,1.8,50623
20025,KS,1.8,58365
20027,KS,2.6,53119
20029,KS,2.8,55001
20031,KS,3.2,59142
20033,KS,2.1,49314
20035,KS,3.4,51398
20037,KS,3.2,46714
20039,KS,2.6,48189
20041,KS,3.0,56755
20043,KS,2.7,57012
20045,KS,3.1,65149
20047,KS,2.1,51756
20049,KS,2.8,45974
20051,KS,1.9,55505
20053,KS,2.2,53443
20055,KS,2.1,65023
20057,KS,2.1,54442
20059,KS,3.1,60899
20061,KS,4.3,50102
20063,KS,1.9,57676
20065,KS,2.9,47104
20067,KS,3.0,67764
20069,KS,1.7,72095
20071,KS,1.2,66089
20073,KS,2.8,50399
20075,KS,1.4,61342
20077,KS,2.6,48275
20079,KS,2.9,63861
20081,KS,1.8,66053
20083,KS,1.8,60414
20085,KS,2.6,57871
20087,KS,3.0,63712
20089,KS,2.2,46688
20091,KS,2.7,91799
20093,KS,1.6,66713
20095,KS,3.1,58678
20097,KS,2.1,56664
20099,KS,3.4,50222
20101,KS,2.0,60530
20103,KS,3.3,76429
20105,KS,2.2,50231
20107,KS,4.3,55006
20109,KS,1.6,56833
20111,KS,2.8,56290
20113,KS,2.1,68904
20115,KS,2.4,53709
20117,KS,1.9,56429
20119,KS,2.2,52590
20121,KS,2.9,78717
20123,KS,2.0,53745
20125,KS,3.9,44071
20127,KS,2.4,53793
20129,KS,2.6,56878
20131,KS,1.8,62744
20133,KS,4.3,56085
20135,KS,2.2,55311
20137,KS,1.8,47512
20139,KS,3.0,55287
20141,KS,1.8,47811
20143,KS,2.8,60560
20145,KS,2.2,53821
20147,KS,2.1,56047
20149,KS,2.5,75476
20151,KS,2.2,62958
20153,KS,1.6,54417
20155,KS,3.2,57611
20157,KS,2.3,52537
20159,KS,2.4,59659
20161,KS,2.8,56333
20163,KS,2.4,51376
20165,KS,2.4,50673
20167,KS,2.4,56536
20169,KS,3.0,56928
20171,KS,1.6,68514
20173,KS,4.6,59789
20175,KS,2.8,54330
20177,KS,3.1,56191
20179,KS,1.8,58186
20181,KS,2.5,52718
20183,KS,1.7,49114
20185,KS,2.2,55004
20187,KS,1.9,68439
20189,KS,2.1,66592
20191,KS,4.1,56609
20193,KS,1.8,65158
20195,KS,2.1,60246
20197,KS,2.5,64886
20199,KS,1.7,57386
20201,KS,1.7,51751
20203,KS,2.0,61326
20205,KS,4.0,50472
20207,KS,3.5,45357
20209,KS,4.7,52223
21001,KY,5.0,42429
21003,KY,4.0,49980
21005,KY,4.0,65443
21007,KY,5.0,48623
21009,KY,5.3,45298
21011,KY,5.8,41778
21013,KY,5.7,30202
21015,KY,3.8,82393
21017,KY,3.9,52368
21019,KY,6.2,54694
21021,KY,5.0,53374
21023,KY,4.7,55112
21025,KY,8.6,33852
21027,KY,5.2,50292
21029,KY,4.6,71835
21031,KY,4.6,44933
21033,KY,4.2,47670
21035,KY,4.5,47438
21037,KY,4.0,64151
21039,KY,3.8,46935
21041,KY,4.1,52640
21043,KY,7.8,44720
21045,KY,4.1,35069
21047,KY,5.8,46950
21049,KY,4.4,58340
21051,KY,6.8,26866
21053,KY,4.4,37428
21055,KY,4.3,46844
21057,KY,3.5,38275
21059,KY,4.3,54948
21061,KY,5.1,44459
21063,KY,8.4,35030
21065,KY,5.2,39719
21067,KY,3.9,60215
21069,KY,4.9,44691
21071,KY,7.1,35087
21073,KY,4.4,59911
21075,KY,5.3,36421
21077,KY,4.3,55650
21079,KY,4.5,54951
21081,KY,4.5,56274
21083,KY,4.4,44475
21085,KY,5.6,42297
21087,KY,3.7,41322
21089,KY,6.8,55777
21091,KY,4.4,57111
21093,KY,4.7,56557
21095,KY,8.6,30745
21097,KY,3.9,55934
21099,KY,4.4,41608
21101,KY,4.5,54701
21103,KY,4.0,53170
21105,KY,4.5,46553
21107,KY,5.1,47631
21109,KY,6.3,35889
21111,KY,4.8,62067
21113,KY,4.0,67610
21115,KY,7.3,40455
21117,KY,4.2,66015
21119,KY,7.2,33253
21121,KY,6.2,31568
21123,KY,4.9,50980
21125,KY,4.5,50743
21127,KY,6.4,38213
21129,KY,5.6,30575
21131,KY,8.1,39098
21133,KY,7.6,36259
21135,KY,7.6,39288
21137,KY,5.6,43748
21139,KY,6.1,52994
21141,KY,3.8,51905
21143,KY,4.5,51970
21145,KY,5.0,50650
21147,KY,5.7,31453
21149,KY,4.3,48088
21151,KY,4.1,55336
21153,KY,12.5,32389
21155,KY,4.4,57062
