fips,ST,Unemployment_rate_2021,Median_Household_Income_2020
21157,KY,4.7,56286
21159,KY,9.3,30320
21161,KY,5.5,49216
21163,KY,5.3,56845
21165,KY,6.9,40773
21167,KY,4.6,53743
21169,KY,5.4,39993
21171,KY,4.0,38449
21173,KY,5.3,51234
21175,KY,5.8,38274
21177,KY,6.6,45599
21179,KY,4.3,68264
21181,KY,4.3,48290
21183,KY,5.5,48621
21185,KY,3.6,105897
21187,KY,4.3,45177
21189,KY,7.0,25997
21191,KY,4.1,60824
21193,KY,6.3,35555
21195,KY,6.4,38917
21197,KY,4.8,40215
21199,KY,4.9,44717
21201,KY,4.2,49529
21203,KY,5.0,42205
21205,KY,5.3,46535
21207,KY,5.4,41088
21209,KY,3.7,70526
21211,KY,3.8,75600
21213,KY,4.2,56107
21215,KY,4.2,83583
21217,KY,3.9,48384
21219,KY,3.6,50393
21221,KY,5.1,50258
21223,KY,4.8,64971
21225,KY,4.4,53064
21227,KY,4.3,56552
21229,KY,3.9,51897
21231,KY,5.1,36628
21233,KY,4.5,52901
21235,KY,5.0,34559
21237,KY,5.9,33757
21239,KY,3.4,69544
22001,LA,4.9,45183
22003,LA,5.5,49671
22005,LA,4.2,88680
22007,LA,7.2,52046
22009,LA,5.2,40448
22011,LA,4.1,53708
22013,LA,5.7,39695
22015,LA,3.9,53225
22017,LA,6.2,43216
22019,LA,5.6,57252
22021,LA,4.6,42490
22023,LA,3.5,60887
22025,LA,5.1,39222
22027,LA,4.9,37407
22029,LA,5.9,37546
22031,LA,4.8,43733
22033,LA,5.3,57099
22035,LA,9.9,32813
22037,LA,4.5,52158
22039,LA,5.4,38415
22041,LA,5.8,42706
22043,LA,4.0,56380
22045,LA,6.9,50449
22047,LA,7.2,36990
22049,LA,3.8,41940
22051,LA,6.0,58586
22053,LA,4.7,47924
22055,LA,4.5,59362
22057,LA,4.6,56743
22059,LA,3.3,48306
22061,LA,4.3,44728
22063,LA,3.8,61680
22065,LA,6.7,33841
22067,LA,7.3,36290
22069,LA,4.7,44720
22071,LA,8.3,51704
22073,LA,5.0,45251
22075,LA,4.3,55861
22077,LA,5.7,49583
22079,LA,4.0,45130
22081,LA,4.3,42135
22083,LA,5.2,43794
22085,LA,3.7,38833
22087,LA,6.8,50790
22089,LA,5.0,69889
22091,LA,9.2,40709
22093,LA,7.4,58309
22095,LA,8.5,56697
22097,LA,6.3,39153
22099,LA,5.6,48524
22101,LA,6.7,47236
22103,LA,3.8,67462
22105,LA,6.4,47272
22107,LA,5.9,33294
22109,LA,5.8,55402
22111,LA,4.8,42342
22113,LA,5.0,52709
22115,LA,4.6,55124
22117,LA,5.9,38604
22119,LA,5.5,41747
22121,LA,4.9,62919
22123,LA,6.3,38513
22125,LA,3.7,58499
22127,LA,4.8,42991
23001,ME,4.9,57723
23003,ME,5.7,45523
23005,ME,4.0,75455
23007,ME,5.3,49317
23009,ME,5.0,58466
23011,ME,4.3,53876
23013,ME,4.4,66058
23015,ME,4.4,64825
23017,ME,5.6,47611
23019,ME,4.7,52079
23021,ME,5.0,48769
23023,ME,3.7,68433
23025,ME,6.3,43694
23027,ME,4.7,56085
23029,ME,6.5,48582
23031,ME,4.5,67965
24001,MD,6.4,53023
24003,MD,4.7,105979
24005,MD,5.7,79974
24009,MD,4.6,111665
24011,MD,4.7,60617
24013,MD,4.2,104817
24015,MD,5.2,84248
24017,MD,5.7,102681
24019,MD,5.6,54846
24021,MD,4.8,99254
24023,MD,5.2,56929
24025,MD,4.8,102537
24027,MD,4.3,124042
24029,MD,5.5,64437
24031,MD,5.5,115394
24033,MD,7.5,85246
24035,MD,4.4,93427
24037,MD,4.5,105197
24039,MD,7.6,51787
24041,MD,5.3,69311
24043,MD,5.4,63237
24045,MD,6.1,59387
24047,MD,8.2,62481
24510,MD,7.6,51485
25001,MA,6.7,76287
25003,MA,6.7,65458
25005,MA,6.5,71998
25007,MA,6.5,80459
25009,MA,6.4,88269
25011,MA,5.0,62920
25013,MA,7.6,61600
25015,MA,4.7,73864
25017,MA,4.6,111158
25019,MA,7.7,95713
25021,MA,5.1,106348
25023,MA,6.1,88420
25025,MA,6.0,85221
25027,MA,5.9,77931
26001,MI,7.1,45573
26003,MI,8.0,51126
26005,MI,4.7,63732
26007,MI,5.5,40442
26009,MI,7.0,58738
26011,MI,8.3,50286
26013,MI,7.9,48846
26015,MI,4.6,68693
26017,MI,6.1,55860
26019,MI,6.0,64526
26021,MI,5.8,56346
26023,MI,5.0,51757
26025,MI,6.6,52310
26027,MI,5.1,61180
26029,MI,6.0,66728
26031,MI,8.3,50788
26033,MI,6.5,52579
26035,MI,8.0,43726
26037,MI,4.4,76367
26039,MI,7.1,49625
26041,MI,6.2,49414
26043,MI,4.8,59408
26045,MI,5.3,67658
26047,MI,6.4,60401
26049,MI,7.6,48721
26051,MI,7.1,48694
26053,MI,5.5,48975
26055,MI,5.0,67290
26057,MI,5.6,54161
26059,MI,5.5,54974
26061,MI,5.0,47399
26063,MI,5.4,53616
26065,MI,5.6,62711
26067,MI,4.8,58371
26069,MI,7.2,43450
26071,MI,6.1,45098
26073,MI,5.3,53607
26075,MI,5.7,57267
26077,MI,5.0,63279
26079,MI,7.3,52903
26081,MI,4.7,65012
26083,MI,6.7,49890
26085,MI,8.2,39971
26087,MI,6.1,68959
26089,MI,5.2,77687
26091,MI,5.5,58849
26093,MI,4.2,87686
26095,MI,7.1,48764
26097,MI,8.6,48480
26099,MI,5.9,64870
26101,MI,7.3,53488
26103,MI,5.4,52793
26105,MI,6.4,52571
26107,MI,6.4,52949
26109,MI,4.5,53031
26111,MI,4.9,65249
26113,MI,5.6,51030
26115,MI,6.0,69182
26117,MI,5.6,52589
26119,MI,9.4,43350
26121,MI,7.5,58445
26123,MI,5.6,51122
26125,MI,4.7,82849
26127,MI,7.4,52388
26129,MI,7.8,46144
26131,MI,7.6,43309
26133,MI,5.5,51474
26135,MI,9.1,43683
26137,MI,6.8,61330
26139,MI,4.1,77465
26141,MI,7.9,49713
26143,MI,9.6,43551
26145,MI,7.1,51893
26147,MI,5.9,59138
26149,MI,5.1,54896
26151,MI,6.1,51171
26153,MI,8.0,49684
26155,MI,5.7,59733
26157,MI,6.3,51940
26159,MI,6.1,56526
26161,MI,4.3,77019
26163,MI,8.0,51777
26165,MI,6.0,56550
27001,MN,4.7,49822
27003,MN,3.4,84779
27005,MN,3.4,60159
27007,MN,3.7,58138
27009,MN,4.3,70143
27011,MN,3.5,54796
27013,MN,3.1,67193
27015,MN,3.1,61978
27017,MN,4.0,67695
27019,MN,2.7,107932
27021,MN,4.4,52271
27023,MN,3.0,63406
27025,MN,3.7,85178
27027,MN,2.7,74266
27029,MN,5.8,51147
27031,MN,4.5,58561
27033,MN,3.4,53525
27035,MN,4.0,58213
27037,MN,3.1,90562
27039,MN,3.1,77340
27041,MN,2.8,69848
27043,MN,3.8,55599
27045,MN,3.0,66204
27047,MN,3.5,62233
27049,MN,3.2,73474
27051,MN,3.7,66740
27053,MN,3.4,81772
27055,MN,2.9,61117
27057,MN,4.1,62750
27059,MN,4.1,73401
27061,MN,4.7,59365
27063,MN,3.1,62766
27065,MN,5.3,62422
27067,MN,3.6,65344
27069,MN,2.9,51016
27071,MN,4.4,56870
27073,MN,2.8,65446
27075,MN,3.6,63741
27077,MN,3.7,57302
27079,MN,4.1,78559
27081,MN,3.3,57252
27083,MN,2.7,63255
27085,MN,3.4,76095
27087,MN,5.9,48951
27089,MN,4.2,62240
27091,MN,3.2,58578
27093,MN,3.4,66861
27095,MN,5.2,55547
27097,MN,4.4,62618
27099,MN,3.1,61565
27101,MN,3.8,63414
27103,MN,2.8,75827
27105,MN,2.9,63011
27107,MN,3.9,50573
27109,MN,2.8,82683
27111,MN,3.4,67329
27113,MN,3.7,64240
27115,MN,5.0,58733
27117,MN,2.9,58662
27119,MN,3.8,60068
27121,MN,2.8,64306
27123,MN,3.8,66123
27125,MN,4.0,68683
27127,MN,3.4,61316
27129,MN,3.9,56296
27131,MN,3.2,74301
27133,MN,1.9,64588
27135,MN,2.9,61775
27137,MN,3.8,57972
27139,MN,3.0,99924
27141,MN,3.5,92673
27143,MN,3.6,61225
27145,MN,3.6,66317
27147,MN,3.3,70532
27149,MN,2.4,68234
27151,MN,3.7,59165
27153,MN,3.7,52842
27155,MN,3.1,56085
27157,MN,3.0,74348
27159,MN,4.5,46968
27161,MN,3.9,66523
27163,MN,2.9,101409
27165,MN,3.0,60656
27167,MN,2.8,65769
27169,MN,2.9,65302
27171,MN,3.1,85855
27173,MN,3.0,62290
28001,MS,8.2,36519
28003,MS,4.8,46368
28005,MS,7.3,42649
28007,MS,6.0,40985
28009,MS,6.4,38972
28011,MS,6.9,36034
28013,MS,5.2,42107
28015,MS,5.8,46814
28017,MS,6.3,40471
28019,MS,4.8,43449
28021,MS,11.7,34551
28023,MS,6.3,38314
28025,MS,7.2,36536
28027,MS,8.8,30047
28029,MS,6.5,41476
28031,MS,5.1,42221
28033,MS,4.4,66532
28035,MS,5.7,42082
28037,MS,6.8,41548
28039,MS,7.0,49995
28041,MS,7.6,46493
28043,MS,5.0,42577
28045,MS,5.8,55710
28047,MS,5.5,47505
28049,MS,6.2,44671
28051,MS,11.0,30003
28053,MS,12.7,30474
28055,MS,9.3,32675
28057,MS,4.3,48097
28059,MS,6.0,55831
28061,MS,7.3,42806
28063,MS,16.6,32683
28065,MS,7.7,35567
28067,MS,5.7,49115
28069,MS,7.4,37305
28071,MS,4.1,55786
28073,MS,4.1,62527
28075,MS,5.4,44821
28077,MS,6.9,36272
28079,MS,5.6,43614
28081,MS,4.6,57936
28083,MS,8.1,34818
28085,MS,5.0,44695
28087,MS,5.9,47860
28089,MS,4.3,67151
28091,MS,5.3,38727
28093,MS,5.8,46117
28095,MS,5.2,49114
28097,MS,6.1,40300
28099,MS,5.6,49215
28101,MS,5.4,49925
28103,MS,8.9,35880
28105,MS,5.5,44234
28107,MS,7.1,41060
28109,MS,5.6,50611
28111,MS,6.5,47073
28113,MS,7.1,37054
28115,MS,4.4,53272
28117,MS,4.4,44543
28119,MS,8.5,31077
28121,MS,3.6,68583
28123,MS,4.7,42069
28125,MS,9.4,46163
28127,MS,5.2,41988
28129,MS,4.5,48968
28131,MS,5.4,51493
28133,MS,9.1,35149
28135,MS,6.1,35150
28137,MS,5.6,61751
28139,MS,4.6,45568
28141,MS,4.6,48897
28143,MS,8.9,36850
28145,MS,4.1,50116
28147,MS,6.9,30992
28149,MS,6.2,48283
28151,MS,8.2,35344
28153,MS,6.7,36193
28155,MS,5.4,51351
28157,MS,11.1,35394
28159,MS,6.2,44029
28161,MS,5.5,42532
28163,MS,7.3,37367
29001,MO,4.3,49175
29003,MO,3.0,69387
29005,MO,3.2,53603
29007,MO,3.7,48258
29009,MO,4.6,47853
29011,MO,3.4,46353
29013,MO,4.3,52140
29015,MO,5.7,44141
29017,MO,4.2,48198
29019,MO,3.0,62673
29021,MO,3.8,53133
29023,MO,4.7,42099
29025,MO,5.1,47870
29027,MO,3.4,61268
29029,MO,5.0,64357
29031,MO,3.6,57763
29033,MO,4.4,51891
29035,MO,5.2,38854
29037,MO,3.9,82068
29039,MO,3.7,40130
29041,MO,3.3,60521
29043,MO,3.2,67585
29045,MO,4.6,47750
29047,MO,4.9,74950
29049,MO,5.3,66492
29051,MO,3.1,63486
29053,MO,3.6,51221
29055,MO,4.5,43785
29057,MO,3.3,46535
29059,MO,4.3,43482
29061,MO,3.8,49830
29063,MO,3.8,52868
29065,MO,4.3,44057
29067,MO,4.3,46079
29069,MO,6.1,42512
29071,MO,4.0,62781
29073,MO,3.6,54487
29075,MO,2.7,48338
29077,MO,3.4,46934
29079,MO,3.6,45363
29081,MO,3.5,43642
29083,MO,4.0,53544
29085,MO,4.0,36049
29087,MO,2.9,49531
29089,MO,3.2,53190
29091,MO,4.8,45808
29093,MO,5.8,41744
29095,MO,5.5,56398
29097,MO,3.7,51329
29099,MO,4.1,67191
29101,MO,4.4,58373
29103,MO,3.1,41838
29105,MO,4.3,46191
29107,MO,4.3,62043
29109,MO,4.0,48101
29111,MO,3.5,42710
29113,MO,4.6,70054
29115,MO,5.4,47506
29117,MO,3.0,51402
29119,MO,3.9,45446
29121,MO,3.7,49013
29123,MO,4.4,45002
29125,MO,3.8,47698
29127,MO,3.5,54230
29129,MO,2.9,45934
29131,MO,4.1,51348
29133,MO,4.7,39621
29135,MO,3.4,51138
29137,MO,4.4,48661
29139,MO,3.7,56447
29141,MO,4.7,51582
29143,MO,4.8,41553
29145,MO,3.8,52798
29147,MO,2.9,55821
29149,MO,5.3,37835
29151,MO,2.6,62679
29153,MO,5.5,38606
29155,MO,7.3,34498
29157,MO,3.2,55605
29159,MO,4.7,52261
29161,MO,3.7,50420
29163,MO,3.9,51255
29165,MO,4.0,86924
29167,MO,3.5,50691
29169,MO,4.4,59126
29171,MO,3.1,46546
29173,MO,3.4,57061
29175,MO,4.2,51924
29177,MO,6.5,64014
29179,MO,4.1,39089
29181,MO,5.5,37771
29183,MO,3.5,90567
29185,MO,4.5,41486
29186,MO,3.4,58618
29187,MO,4.8,48476
29189,MO,4.5,68964
29195,MO,3.5,52850
29197,MO,4.3,46191
29199,MO,2.6,47740
29201,MO,3.9,52864
29203,MO,5.6,37599
29205,MO,3.3,48430
29207,MO,4.5,47372
29209,MO,6.6,51797
29211,MO,4.9,43387
29213,MO,7.5,44670
29215,MO,4.6,38985
29217,MO,3.4,45874
29219,MO,4.1,69678
29221,MO,5.1,42683
29223,MO,5.0,43848
29225,MO,3.4,55431
29227,MO,2.5,44361
29229,MO,4.0,39521
29510,MO,6.4,45773
30001,MT,2.8,52613
30003,MT,7.8,42823
30005,MT,3.8,45936
30007,MT,4.0,61641
30009,MT,3.4,62465
30011,MT,2.6,48286
30013,MT,3.3,53357
30015,MT,2.7,50607
30017,MT,3.1,59804
30019,MT,1.9,50312
30021,MT,3.1,55845
30023,MT,3.3,47362
30025,MT,2.6,62597
30027,MT,3.3,49576
30029,MT,4.0,58959
30031,MT,2.4,70029
30033,MT,2.6,45892
30035,MT,7.0,40817
30037,MT,3.5,42741
30039,MT,4.4,53407
30041,MT,3.1,49734
30043,MT,3.2,80071
30045,MT,2.7,50610
30047,MT,3.8,52493
30049,MT,3.0,60664
30051,MT,2.4,53415
30053,MT,6.0,42501
30055,MT,1.8,46755
30057,MT,3.2,58201
30059,MT,2.5,43666
30061,MT,5.3,57169
30063,MT,3.4,63409
30065,MT,4.2,50533
30067,MT,3.5,56657
30069,MT,2.6,38661
30071,MT,3.8,46821
30073,MT,3.2,49447
30075,MT,2.7,60462
30077,MT,2.6,52904
30079,MT,3.6,48577
30081,MT,3.6,58781
30083,MT,4.0,69169
30085,MT,4.2,43256
30087,MT,4.0,54991
30089,MT,4.8,45805
30091,MT,3.3,50658
30093,MT,3.6,54324
30095,MT,2.9,73044
30097,MT,2.4,58746
30099,MT,3.1,55399
30101,MT,2.6,49568
30103,MT,3.2,56919
30105,MT,3.1,46766
30107,MT,5.3,39462
30109,MT,3.8,51368
30111,MT,3.2,58374
31001,NE,2.4,54445
31003,NE,1.7,54136
31005,NE,2.6,52500
31007,NE,2.1,59511
31009,NE,2.4,52780
31011,NE,1.6,56719
31013,NE,2.4,62621
31015,NE,2.0,51082
31017,NE,2.3,52962
31019,NE,2.0,68925
31021,NE,2.4,51488
31023,NE,2.2,63640
31025,NE,2.7,70106
31027,NE,1.8,61673
31029,NE,1.6,61282
31031,NE,1.6,53483
31033,NE,2.8,55172
31035,NE,2.3,63427
31037,NE,1.9,63424
31039,NE,1.7,54725
31041,NE,1.6,57873
31043,NE,3.0,61220
31045,NE,1.9,52637
31047,NE,2.1,61043
31049,NE,2.1,51261
31051,NE,2.1,60437
31053,NE,2.4,62491
31055,NE,3.0,65788
31057,NE,1.6,50299
31059,NE,1.9,59309
31061,NE,2.2,49104
31063,NE,1.7,59061
31065,NE,1.9,50762
31067,NE,2.4,61283
31069,NE,2.1,41221
31071,NE,2.0,49951
31073,NE,1.7,62698
31075,NE,1.4,62487
31077,NE,1.9,50068
31079,NE,2.9,54110
31081,NE,2.1,73759
31083,NE,1.9,55010
31085,NE,1.3,54280
31087,NE,2.3,48475
31089,NE,1.7,56777
31091,NE,1.6,53234
31093,NE,2.2,54291
31095,NE,1.8,55414
31097,NE,2.9,55062
31099,NE,1.8,62260
31101,NE,2.0,57307
31103,NE,1.7,47053
31105,NE,2.2,46782
31107,NE,2.0,51296
31109,NE,2.4,65819
31111,NE,2.2,62948
31113,NE,1.7,56283
31115,NE,2.0,56291
31117,NE,1.6,54876
31119,NE,2.4,56970
31121,NE,2.3,58437
31123,NE,2.5,54879
31125,NE,1.9,52534
31127,NE,2.2,55574
31129,NE,1.8,60636
31131,NE,2.3,68443
31133,NE,1.8,49089
31135,NE,1.4,58925
31137,NE,1.7,61442
31139,NE,2.1,56484
31141,NE,2.1,62776
31143,NE,1.9,59159
31145,NE,2.0,55657
31147,NE,2.4,51874
31149,NE,1.3,48461
31151,NE,2.3,63655
31153,NE,2.4,83104
31155,NE,2.2,72526
31157,NE,2.8,53956
31159,NE,2.5,72456
31161,NE,1.8,52051
31163,NE,2.1,49684
31165,NE,1.8,51831
31167,NE,2.1,64087
31169,NE,1.7,55775
31171,NE,2.6,55599
31173,NE,3.3,49148
31175,NE,2.1,55542
31177,NE,2.3,78844
31179,NE,1.9,64569
31181,NE,2.0,52115
31183,NE,1.2,52154
31185,NE,1.9,63249
32001,NV,3.5,61650
32003,NV,8.3,62496
32005,NV,4.5,84317
32007,NV,3.3,73914
32009,NV,3.8,35395
32011,NV,2.6,68806
32013,NV,3.4,72907
32015,NV,3.6,80894
32017,NV,3.4,60180
32019,NV,5.2,63162
32021,NV,3.8,50069
32023,NV,6.1,52783
32027,NV,3.6,65000
32029,NV,4.6,73271
32031,NV,4.3,75232
32033,NV,3.0,57923
32510,NV,4.8,58382
33001,NH,3.7,76105
33003,NH,3.8,73073
33005,NH,3.9,66398
33007,NH,4.4,49465
33009,NH,3.3,77022
33011,NH,3.6,79222
33013,NH,3.2,81132
33015,NH,3.5,96775
33017,NH,3.3,72817
33019,NH,3.3,65881
34001,NJ,9.5,61377
34003,NJ,6.0,107114
34005,NJ,5.3,92471
34007,NJ,6.8,71718
34009,NJ,8.9,75829
34011,NJ,7.7,60352
34013,NJ,8.0,65528
34015,NJ,6.0,87220
34017,NJ,6.8,77323
34019,NJ,4.6,113611
34021,NJ,5.2,87581
34023,NJ,5.7,95610
34025,NJ,5.5,104219
34027,NJ,5.0,114103
34029,NJ,6.0,78181
34031,NJ,8.4,64422
34033,NJ,7.3,65563
34035,NJ,5.1,115573
34037,NJ,5.9,92739
34039,NJ,6.7,83189
34041,NJ,5.5,80412
35001,NM,6.2,56632
35003,NM,6.2,27423
35005,NM,7.1,51441
35006,NM,9.3,42705
35007,NM,5.9,43265
35009,NM,4.9,53864
35011,NM,5.1,42319
35013,NM,6.6,46547
35015,NM,6.4,66199
35017,NM,7.3,43557
35019,NM,7.0,38903
35021,NM,4.6,39913
35023,NM,5.4,41858
35025,NM,9.6,66780
35027,NM,7.5,49115
35028,NM,3.0,111724
35029,NM,15.2,39233
35031,NM,9.6,35659
35033,NM,6.2,40618
35035,NM,6.6,46735
35037,NM,7.1,38389
35039,NM,7.0,47400
35041,NM,5.6,46351
35043,NM,6.6,71991
35045,NM,8.0,44261
35047,NM,7.3,40804
35049,NM,6.2,58898
35051,NM,8.1,36823
35053,NM,6.3,39478
35055,NM,8.9,43230
35057,NM,7.9,47266
35059,NM,4.2,42676
35061,NM,6.9,51564
36001,NY,4.4,70629
36003,NY,5.0,53371
36005,NY,13.6,44906
36007,NY,5.2,52510
36009,NY,5.3,51824
36011,NY,4.7,59335
36013,NY,5.6,50062
36015,NY,5.3,54705
36017,NY,4.4,52545
36019,NY,4.6,59741
36021,NY,3.8,66068
36023,NY,5.1,60165
36025,NY,4.6,54440
36027,NY,4.4,79276
36029,NY,5.5,59584
36031,NY,4.7,57129
36033,NY,4.7,58709
36035,NY,5.5,55405
36037,NY,4.3,62641
36039,NY,4.9,60163
36041,NY,4.4,56253
36043,NY,5.8,59893
36045,NY,5.0,57570
36047,NY,10.1,70390
36049,NY,5.0,57897
36051,NY,4.3,60947
36053,NY,4.5,64379
36055,NY,5.2,61358
36057,NY,5.7,52482
36059,NY,4.5,122730
36061,NY,7.6,87745
36063,NY,5.7,54963
36065,NY,5.1,58696
36067,NY,4.9,63963
36069,NY,4.3,62777
36071,NY,4.7,78724
36073,NY,5.2,57318
36075,NY,5.5,58439
36077,NY,4.4,58417
36079,NY,4.2,104285
36081,NY,9.6,78847
36083,NY,4.4,71457
36085,NY,8.7,81003
36087,NY,4.4,94874
36089,NY,5.1,51526
36091,NY,3.8,83427
36093,NY,4.9,66292
36095,NY,4.5,59744
36097,NY,4.9,54269
36099,NY,4.7,56929
36101,NY,5.0,54794
36103,NY,4.6,109084
36105,NY,4.9,63915
36107,NY,4.4,62400
36109,NY,3.7,65308
36111,NY,4.7,66060
36113,NY,4.9,67359
36115,NY,4.6,60973
36117,NY,4.5,62329
36119,NY,4.8,103340
36121,NY,4.5,59612
36123,NY,3.8,57057
37001,NC,4.8,53220
37003,NC,4.2,53523
37005,NC,4.6,39916
37007,NC,6.3,40818
37009,NC,4.0,44543
37011,NC,3.9,50800
37013,NC,4.8,50253
37015,NC,5.9,41889
37017,NC,5.8,43664
37019,NC,6.0,64371
37021,NC,4.2,66156
37023,NC,4.5,48729
37025,NC,4.4,79736
37027,NC,4.9,50235
37029,NC,3.9,72135
37031,NC,4.1,63475
37033,NC,5.3,48070
37035,NC,4.7,52737
37037,NC,3.6,74747
37039,NC,5.0,44449
37041,NC,4.9,45365
37043,NC,4.9,44052
37045,NC,5.3,49041
37047,NC,6.3,40712
37049,NC,4.7,53960
37051,NC,6.9,49160
37053,NC,4.1,73433
37055,NC,6.0,72962
37057,NC,4.5,56067
37059,NC,4.3,65418
37061,NC,4.4,49755
37063,NC,4.1,65619
37065,NC,8.5,45156
37067,NC,4.9,56158
37069,NC,4.7,54868
37071,NC,5.2,60622
37073,NC,4.3,57680
37075,NC,6.9,42057
37077,NC,4.0,53112
37079,NC,4.1,47605
37081,NC,5.6,55577
37083,NC,7.5,41098
37085,NC,5.3,55586
37087,NC,4.2,50492
37089,NC,4.1,60550
37091,NC,6.5,46632
37093,NC,6.4,53728
37095,NC,6.5,45548
37097,NC,4.6,61892
37099,NC,4.5,49488
37101,NC,4.2,63882
37103,NC,4.2,44972
37105,NC,5.4,57025
37107,NC,5.0,40586
37109,NC,4.1,56183
37111,NC,4.5,47579
37113,NC,4.2,51973
37115,NC,4.3,49373
37117,NC,5.5,42264
37119,NC,4.9,72340
37121,NC,5.1,49236
37123,NC,4.7,48522
37125,NC,4.6,69413
37127,NC,6.3,49883
37129,NC,4.2,65615
37131,NC,6.2,41630
37133,NC,5.1,52885
37135,NC,3.5,82732
37137,NC,4.3,50481
37139,NC,5.4,56654
37141,NC,4.2,59812
37143,NC,5.3,50813
37145,NC,5.0,58991
37147,NC,5.0,49955
37149,NC,4.7,58607
37151,NC,4.7,48849
37153,NC,7.3,42335
37155,NC,7.6,39139
37157,NC,5.5,50388
37159,NC,5.0,55398
37161,NC,6.5,44004
37163,NC,4.5,45387
37165,NC,9.5,33531
37167,NC,4.4,53769
37169,NC,4.2,59068
37171,NC,4.4,47114
37173,NC,4.5,47559
37175,NC,4.1,56880
37177,NC,7.0,42260
37179,NC,3.9,90920
37181,NC,7.9,41935
37183,NC,4.0,88763
37185,NC,7.7,42808
37187,NC,6.9,38704
37189,NC,3.7,54004
37191,NC,5.0,52906
37193,NC,4.7,46830
37195,NC,6.7,44089
37197,NC,4.2,53154
37199,NC,4.3,48662
38001,ND,3.4,50673
38003,ND,3.1,52327
38005,ND,5.0,51189
38007,ND,2.9,76478
38009,ND,4.8,61841
38011,ND,2.5,67067
38013,ND,4.3,73567
38015,ND,3.1,72170
38017,ND,2.9,61338
38019,ND,3.1,54270
38021,ND,2.7,60682
38023,ND,2.4,64594
38025,ND,3.3,73722
38027,ND,4.0,54285
38029,ND,4.6,49972
38031,ND,2.8,63234
38033,ND,2.7,57596
38035,ND,3.2,55495
38037,ND,2.7,48063
38039,ND,2.8,53751
38041,ND,3.2,53222
38043,ND,5.2,49386
38045,ND,2.3,58302
38047,ND,3.0,47908
38049,ND,4.3,59052
38051,ND,3.5,48839
38053,ND,5.5,84705
38055,ND,3.7,70835
38057,ND,4.7,79608
38059,ND,3.8,71928
38061,ND,3.5,68465
38063,ND,3.7,53008
38065,ND,3.8,66708
38067,ND,4.8,61595
38069,ND,3.4,50827
38071,ND,3.3,57984
38073,ND,2.6,65039
38075,ND,3.4,67054
38077,ND,2.7,65530
38079,ND,10.6,45178
38081,ND,2.7,68769
38083,ND,5.3,46424
38085,ND,3.5,36182
38087,ND,2.8,53330
38089,ND,4.7,66105
38091,ND,3.0,68163
38093,ND,3.0,59948
38095,ND,3.3,57509
38097,ND,3.0,70384
38099,ND,4.6,57557
38101,ND,4.3,64346
38103,ND,4.2,56827
38105,ND,6.7,79483
39001,OH,6.3,42342
39003,OH,5.7,52558
39005,OH,4.3,55699
39007,OH,5.5,51252
39009,OH,5.6,42215
39011,OH,3.7,69468
39013,OH,6.1,50626
39015,OH,5.3,58067
39017,OH,4.5,69049
39019,OH,5.7,52065
39021,OH,4.4,64142
39023,OH,5.3,54507
39025,OH,4.3,72740
39027,OH,5.5,53891
39029,OH,5.7,49342
39031,OH,5.8,47794
39033,OH,5.8,45952
39035,OH,6.5,55128
39037,OH,3.9,57932
39039,OH,4.7,61816
39041,OH,3.6,114423
39043,OH,6.3,66252
39045,OH,4.3,74987
39047,OH,4.8,50125
39049,OH,5.0,62643
39051,OH,4.7,60550
39053,OH,5.6,50642
39055,OH,4.1,84510
39057,OH,4.3,71673
39059,OH,5.6,45808
39061,OH,4.9,63919
39063,OH,4.1,61473
39065,OH,5.2,45312
39067,OH,6.2,49088
39069,OH,5.2,64694
39071,OH,5.6,57155
39073,OH,4.8,53838
39075,OH,2.8,67967
39077,OH,5.8,62143
39079,OH,6.1,49636
39081,OH,6.5,49642
39083,OH,4.0,68050
39085,OH,5.1,69853
39087,OH,5.1,47299
39089,OH,4.1,68982
39091,OH,4.1,61797
39093,OH,5.8,59954
39095,OH,6.2,51642
39097,OH,3.8,72834
39099,OH,6.3,48937
39101,OH,4.7,52226
39103,OH,4.3,79504
39105,OH,6.6,44622
39107,OH,3.1,69588
39109,OH,4.3,63699
39111,OH,7.3,48944
39113,OH,5.6,54692
39115,OH,6.2,45698
39117,OH,4.5,68159
39119,OH,5.1,52457
39121,OH,6.8,52583
39123,OH,6.1,65582
39125,OH,4.3,62062
39127,OH,5.6,56048
39129,OH,4.5,64412
39131,OH,6.3,46413
39133,OH,4.7,64250
39135,OH,4.1,60856
39137,OH,3.4,72299
39139,OH,5.6,52295
39141,OH,4.8,49543
39143,OH,5.2,60455
39145,OH,6.2,44297
39147,OH,4.7,58129
39149,OH,4.2,67582
39151,OH,5.2,57364
39153,OH,5.4,60715
39155,OH,6.4,48929
39157,OH,4.6,58256
39159,OH,3.5,92198
39161,OH,3.9,57863
39163,OH,6.2,49778
39165,OH,4.0,90600
39167,OH,5.5,53450
39169,OH,3.6,67708
39171,OH,4.3,52458
39173,OH,4.3,67865
39175,OH,3.5,63516
40001,OK,3.7,36749
40003,OK,2.3,51157
40005,OK,4.7,42618
40007,OK,1.7,61477
40009,OK,4.3,47625
40011,OK,3.0,55643
40013,OK,3.3,45213
40015,OK,3.7,48380
40017,OK,3.2,75452
40019,OK,4.4,46781
40021,OK,4.1,49553
40023,OK,5.2,41622
40025,OK,1.8,50804
