fips,ST,lat,lng,population
36019,NY,44.7462,-73.6782,80320
40145,OK,35.9611,-95.5212,80264
1121,AL,33.3801,-86.1659,80244
56025,WY,42.9622,-106.7985,80067
42033,PA,41.0,-78.4742,79466
53041,WA,46.5778,-122.3927,79430
18085,IN,41.2441,-85.8607,79156
55071,WI,44.1199,-87.8097,78977
51019,VA,37.3152,-79.5242,78965
26037,MI,42.9437,-84.6015,78957
29031,MO,37.384,-89.6844,78834
5145,AR,35.2563,-91.7456,78725
47141,TN,36.1408,-85.4952,78542
45073,SC,34.7535,-83.0659,78314
18043,IN,38.3188,-85.907,77879
13031,GA,32.3968,-81.7432,77719
6115,CA,39.269,-121.3513,77524
41059,OR,45.5919,-118.7369,77319
36011,NY,42.9175,-76.5545,76958
39141,OH,39.3376,-83.057,76816
36009,NY,42.2486,-78.6788,76750
17183,IL,40.1834,-87.7328,76704
53007,WA,47.8692,-120.619,76653
29051,MO,38.5054,-92.2816,76630
18059,IN,39.8236,-85.7732,76614
35061,NM,34.7155,-106.809,76518
47001,TN,36.1185,-84.1985,76513
53009,WA,48.0493,-123.928,76482
33005,NH,42.9194,-72.2512,76040
51095,VA,37.3288,-76.7789,76032
39063,OH,41.0019,-83.6665,75765
51015,VA,38.1644,-79.1339,75754
48099,TX,31.3909,-97.7992,75576
28075,MS,32.4043,-88.6626,75557
39145,OH,38.8039,-82.9929,75441
26159,MI,42.2513,-86.0189,75416
36105,NY,41.7164,-74.7681,75329
28035,MS,31.1889,-89.2579,75162
12087,FL,25.3185,-81.1087,75137
54081,WV,37.7714,-81.2487,74452
39043,OH,41.3641,-82.6194,74419
20161,KS,39.2966,-96.7352,74059
42111,PA,39.9725,-79.0283,73844
12107,FL,29.6086,-81.7443,73784
53027,WA,47.1502,-123.7736,73769
5085,AR,34.7543,-91.8888,73163
55141,WI,44.4553,-90.0416,72892
37037,NC,35.7026,-79.2553,72853
40125,OK,35.2066,-96.9484,72511
48471,TX,30.739,-95.5723,72295
35031,NM,35.5807,-108.2618,71956
15007,HI,22.0398,-159.5966,71949
37171,NC,36.4146,-80.688,71904
4001,AZ,35.3955,-109.4888,71714
40037,OK,35.9026,-96.3708,71505
21047,KY,36.8942,-87.4904,71470
1049,AL,34.4598,-85.8041,71430
12131,FL,30.6436,-86.1696,71049
24001,MD,39.6215,-78.6976,71002
36053,NY,42.9128,-75.6697,70990
47147,TN,36.5255,-86.8706,70982
12023,FL,30.2242,-82.6215,70898
55097,WI,44.476,-89.5014,70822
22045,LA,29.8965,-91.7301,70763
45047,SC,34.1537,-82.1259,70672
25011,MA,42.5831,-72.5918,70529
13157,GA,34.1339,-83.5664,70467
26073,MI,43.6406,-84.8468,70363
35025,NM,32.7921,-103.4125,70359
51061,VA,38.7387,-77.8092,70353
38035,ND,47.9219,-97.4569,70243
18109,IN,39.4815,-86.4462,70141
13285,GA,33.0335,-85.0283,70095
49045,UT,40.4488,-113.1311,69740
8014,CO,39.9542,-105.0526,69444
13295,GA,34.7356,-85.301,69398
37031,NC,34.8357,-76.6589,69301
47059,TN,36.1753,-82.8458,69077
38101,ND,48.2217,-101.5418,68962
30049,MT,47.1224,-112.3905,68714
40101,OK,35.6161,-95.3795,68451
51199,VA,37.2431,-76.5635,68389
37193,NC,36.2062,-81.163,68341
28067,MS,31.6226,-89.1688,68307
26155,MI,42.9537,-84.1467,68176
5069,AR,34.2683,-91.9304,68123
37069,NC,36.0828,-78.2857,68027
48497,TX,33.2159,-97.6545,67884
54033,WV,39.2835,-80.3798,67620
41035,OR,42.6863,-121.6501,67606
23003,ME,46.6589,-68.5989,67431
39013,OH,40.0158,-80.9884,67424
27013,MN,44.0346,-94.067,67368
13047,GA,34.9036,-85.1382,67181
45059,SC,34.4834,-82.0057,66990
48409,TX,28.0092,-97.5188,66969
17199,IL,37.7303,-88.9299,66929
20015,KS,37.7813,-96.8391,66890
18011,IN,40.0508,-86.4687,66875
45031,SC,34.3325,-79.9577,66858
35035,NM,32.6132,-105.7414,66804
37161,NC,35.4026,-81.9198,66741
29187,MO,37.8103,-90.4723,66653
27131,MN,44.3543,-93.2967,66549
48203,TX,32.5481,-94.3715,66547
21185,KY,38.3994,-85.4483,66508
26103,MI,46.4313,-87.6416,66403
18177,IN,39.8644,-85.0099,66176
18053,IN,40.5158,-85.6547,66055
13255,GA,33.2609,-84.2841,66043
39009,OH,39.3339,-82.0452,65945
39081,OH,40.385,-80.761,65943
45055,SC,34.3388,-80.5902,65926
17001,IL,39.9879,-91.1886,65670
21145,KY,37.054,-88.7128,65485
42037,PA,41.0486,-76.4052,65390
42005,PA,40.8121,-79.4646,65356
53045,WA,47.3484,-123.1928,65326
39101,OH,40.5872,-83.1609,65179
48347,TX,31.616,-94.6159,65080
35005,NM,33.3633,-104.4669,64912
21199,KY,37.1039,-84.5772,64789
27035,MN,46.4824,-94.0709,64775
47063,TN,36.2171,-83.2667,64479
26067,MI,42.9451,-85.0746,64401
6033,CA,39.0996,-122.7532,64276
36113,NY,43.561,-73.846,64187
6103,CA,40.1257,-122.234,64176
41011,OR,43.1742,-124.0594,64175
55017,WI,45.0694,-91.2799,64175
55111,WI,43.4267,-89.9482,64152
48427,TX,26.5622,-98.7384,64032
27027,MN,46.8923,-96.4907,64029
42025,PA,40.9182,-75.7088,63964
5115,AR,35.4478,-93.0345,63926
1127,AL,33.8033,-87.2974,63802
26117,MI,43.3109,-85.1525,63516
37163,NC,34.9916,-78.3714,63284
36051,NY,42.7281,-77.7755,63218
5033,AR,35.588,-94.2429,63118
34033,NJ,39.5876,-75.3491,62754
28073,MS,31.206,-89.5087,62693
18173,IN,38.0922,-87.2721,62608
20155,KS,37.9529,-98.086,62421
22001,LA,30.2906,-92.412,62371
13103,GA,32.3673,-81.3414,62241
45043,SC,33.4343,-79.3324,62150
37167,NC,35.3119,-80.251,62050
13179,GA,31.8282,-81.4949,62039
37141,NC,34.5248,-77.9051,61891
37087,NC,35.556,-82.9822,61862
39083,OH,40.3988,-82.4215,61776
36043,NY,43.4197,-74.9625,61738
47167,TN,35.4973,-89.7566,61562
40047,OK,36.3791,-97.7827,61555
6069,CA,36.6057,-121.075,61547
31079,NE,40.8726,-98.5022,61338
36115,NY,43.3137,-73.4308,61304
33001,NH,43.5179,-71.4227,61174
37105,NC,35.4752,-79.1715,61083
26015,MI,42.595,-85.309,61045
51143,VA,36.8213,-79.3971,60867
26149,MI,41.9144,-85.5278,60789
53071,WA,46.2298,-118.4784,60785
42015,PA,41.7887,-76.5154,60721
21125,KY,37.1107,-84.1178,60631
39167,OH,39.4553,-81.4953,60217
48221,TX,32.4299,-97.8323,60025
47035,TN,35.9504,-84.9984,60016
36021,NY,42.2501,-73.6318,60016
39087,OH,38.5984,-82.5368,59901
37077,NC,36.304,-78.6527,59823
22113,LA,29.8466,-92.3237,59787
8045,CO,39.5993,-107.904,59605
36077,NY,42.6337,-75.0326,59593
54055,WV,37.4055,-81.1114,59370
37061,NC,34.9365,-77.933,58965
28087,MS,33.4729,-88.4433,58896
46083,SD,43.2789,-96.7218,58887
2122,AK,60.2654,-151.5652,58809
39143,OH,41.3562,-83.1464,58801
21195,KY,37.4691,-82.3958,58595
50021,VT,43.5802,-73.0366,58527
27111,MN,46.4088,-95.708,58416
50023,VT,44.2734,-72.6148,58336
29145,MO,36.9055,-94.3393,58288
39077,OH,41.1463,-82.598,58271
39129,OH,39.6419,-83.0244,58112
48323,TX,28.7426,-100.3145,58098
1113,AL,32.2884,-85.1849,57938
48001,TX,31.8133,-95.6525,57917
39159,OH,40.2994,-83.3716,57871
35015,NM,32.4715,-104.3044,57865
13129,GA,34.5032,-84.8759,57756
1009,AL,33.9809,-86.5674,57755
23017,ME,44.4998,-70.7566,57741
29113,MO,39.058,-90.96,57590
36037,NY,43.0009,-78.1937,57554
17077,IL,37.7851,-89.3821,57517
48199,TX,30.3324,-94.3902,57356
55021,WI,43.4666,-89.3337,57331
45021,SC,35.0481,-81.6206,57110
54037,WV,39.3076,-77.8628,56922
47073,TN,36.4412,-82.9447,56735
54079,WV,38.5086,-81.909,56604
47019,TN,36.2928,-82.1275,56452
37107,NC,35.2388,-77.6412,56350
54049,WV,39.51,-80.2434,56233
51067,VA,36.992,-79.881,56231
8067,CO,37.2866,-107.8433,56138
47031,TN,35.4906,-86.0748,56024
48467,TX,32.5637,-95.8365,55970
21209,KY,38.2915,-84.5839,55961
27025,MN,45.5025,-92.9084,55844
37189,NC,36.2311,-81.6964,55669
32019,NV,39.0206,-119.189,55667
42103,PA,41.332,-75.0338,55660
37047,NC,34.2656,-78.655,55659
1001,AL,32.5349,-86.6427,55639
17195,IL,41.7563,-89.9141,55583
29213,MO,36.6548,-93.0412,55563
28109,MS,30.7688,-89.5896,55512
51031,VA,37.2054,-79.0965,55406
40051,OK,35.0169,-97.8841,55315
39147,OH,41.1239,-83.1277,55251
32510,NV,39.1511,-119.7476,55244
50027,VT,43.5799,-72.5863,55191
8037,CO,39.6278,-106.6953,54960
1033,AL,34.7005,-87.805,54957
49003,UT,41.521,-113.0821,54953
23009,ME,44.6643,-68.3585,54832
37093,NC,35.0175,-79.2373,54590
20169,KS,38.7838,-97.65,54384
47089,TN,36.051,-83.4463,54162
6109,CA,38.0276,-119.9548,54147
28071,MS,34.3568,-89.485,54059
51191,VA,36.7244,-81.9598,54005
48401,TX,32.1077,-94.7618,53988
13039,GA,30.9306,-81.6699,53960
29101,MO,38.7441,-93.8064,53948
4007,AZ,33.7997,-110.8116,53846
48473,TX,30.0108,-95.9876,53626
22099,LA,30.1291,-91.6082,53607
51660,VA,38.4362,-78.8735,53558
39005,OH,40.846,-82.2707,53533
21113,KY,37.8721,-84.5809,53476
36035,NY,43.1138,-74.4222,53452
47107,TN,35.4247,-84.6175,53392
47145,TN,35.8479,-84.5232,53331
17007,IL,42.3231,-88.8234,53293
47043,TN,36.149,-87.3567,53289
47105,TN,35.7348,-84.3119,53169
49021,UT,37.8592,-113.2895,53148
22089,LA,29.9055,-90.3582,52856
26157,MI,43.4641,-83.4167,52683
32007,NV,41.1458,-115.3577,52537
29169,MO,37.8246,-92.2077,52359
48073,TX,31.837,-95.1652,52341
1031,AL,31.4026,-85.9882,52238
48265,TX,30.0615,-99.35,52195
41009,OR,45.9438,-123.0883,52117
37065,NC,35.9129,-77.5971,52069
40147,OK,36.7152,-95.9044,51995
24047,MD,38.2128,-75.334,51967
51047,VA,38.486,-77.9558,51935
1071,AL,34.7795,-85.9993,51765
26027,MI,41.9154,-85.9935,51613
55043,WI,42.8675,-90.7062,51570
39037,OH,40.1333,-84.6194,51387
42121,PA,41.401,-79.758,51355
42127,PA,41.6487,-75.3033,51268
17029,IL,39.5203,-88.2218,51065
51089,VA,36.6828,-79.874,51032
55135,WI,44.4705,-88.9648,50997
48325,TX,29.3557,-99.1101,50869
19181,IA,41.3344,-93.5614,50867
17063,IL,41.2851,-88.4185,50798
17141,IL,42.0426,-89.3207,50793
27169,MN,43.9868,-91.7792,50744
21073,KY,38.2392,-84.8771,50744
37083,NC,36.2574,-77.6517,50678
23025,ME,45.5139,-69.9589,50573
36033,NY,44.5929,-74.3038,50389
48013,TX,28.8935,-98.5272,50194
24035,MD,39.0673,-76.0208,50163
48373,TX,30.7927,-94.83,50155
48493,TX,29.174,-98.0866,50110
17095,IL,40.9318,-90.2132,50052
22101,LA,29.7206,-91.4485,50020
55015,WI,44.0816,-88.2181,50005
40079,OK,34.9003,-94.7034,49999
48277,TX,33.6673,-95.5712,49705
18029,IN,39.1452,-84.9732,49612
31019,NE,40.8552,-99.075,49594
28105,MS,33.4249,-88.8793,49593
53075,WA,46.9012,-117.523,49577
35009,NM,34.5742,-103.347,49502
48349,TX,32.0469,-96.4725,49475
41041,OR,44.642,-123.8682,49336
22115,LA,31.1083,-93.1843,49315
36057,NY,42.9023,-74.4397,49294
1045,AL,31.4318,-85.611,49293
50011,VT,44.8578,-72.913,49275
47053,TN,35.9966,-88.9326,49193
17073,IL,41.3531,-90.1314,49032
48465,TX,29.893,-101.1517,49018
47003,TN,35.5138,-86.4589,48937
40021,OK,35.9067,-94.9997,48871
26123,MI,43.5542,-85.8009,48687
44001,RI,41.7173,-71.284,48645
39149,OH,40.3315,-84.2047,48610
32005,NV,38.9123,-119.6162,48486
33003,NH,43.8738,-71.2031,48461
36107,NY,42.1703,-76.3063,48431
5035,AR,35.2057,-90.3078,48381
40019,OK,34.2509,-97.2858,48380
18065,IN,39.931,-85.3964,48158
42009,PA,40.0065,-78.4903,48154
21211,KY,38.2154,-85.1948,48100
8043,CO,38.4731,-105.4395,47725
18113,IN,41.3986,-85.4175,47640
36023,NY,42.595,-76.0703,47618
48053,TX,30.7884,-98.1823,47548
36017,NY,42.4935,-75.6116,47527
12063,FL,30.7954,-85.2155,47409
13175,GA,32.4636,-82.9222,47404
40083,OK,35.9193,-97.4433,47401
21019,KY,38.3596,-82.6877,47361
28045,MS,30.416,-89.4885,47339
36039,NY,42.2765,-74.1227,47335
40013,OK,33.9623,-96.2598,47325
51540,VA,38.0375,-78.4855,47217
37013,NC,35.494,-76.8598,47160
22061,LA,32.6016,-92.6649,47118
53037,WA,47.1243,-120.6797,47097
40113,OK,36.6292,-96.3985,47074
56005,WY,44.2483,-105.5483,46958
27007,MN,47.9738,-94.9377,46784
19045,IA,41.898,-90.532,46734
22087,LA,29.8692,-89.5552,46694
4023,AZ,31.526,-110.8466,46594
47123,TN,35.4426,-84.2527,46413
18099,IN,41.3248,-86.2618,46336
27049,MN,44.4097,-92.7229,46330
22117,LA,30.8533,-90.0405,46325
36003,NY,42.2574,-78.0276,46304
16011,ID,43.2166,-112.3981,46246
42087,PA,40.6104,-77.617,46179
55081,WI,43.9457,-90.6178,46155
42099,PA,40.3984,-77.2623,46133
28149,MS,32.3572,-90.852,46030
21179,KY,37.8051,-85.466,45915
45025,SC,34.6398,-80.1587,45833
6009,CA,38.2046,-120.5541,45828
29029,MO,38.027,-92.766,45823
12039,FL,30.5795,-84.6136,45787
39011,OH,40.5609,-84.2218,45709
26059,MI,41.8878,-84.5929,45707
37169,NC,36.4019,-80.2397,45688
18093,IN,38.8412,-86.4834,45552
21101,KY,37.7958,-87.573,45550
32023,NV,38.0424,-116.472,45514
13071,GA,31.1884,-83.7688,45510
48259,TX,29.9447,-98.7115,45491
37111,NC,35.6817,-82.0493,45402
39091,OH,40.3885,-83.7658,45315
17117,IL,39.261,-89.9245,45243
53065,WA,48.3991,-117.8552,45233
13137,GA,34.631,-83.5311,45204
5055,AR,36.1176,-90.559,45197
55005,WI,45.4237,-91.8483,45182
27061,MN,47.5095,-93.6319,45180
42061,PA,40.4169,-77.9812,45145
28151,MS,33.2838,-90.9474,45072
13009,GA,33.0693,-83.2496,45072
48499,TX,32.7864,-95.3821,45054
21107,KY,37.3088,-87.5408,45044
55033,WI,44.9466,-91.8964,45029
29027,MO,38.8355,-91.926,44944
42119,PA,40.963,-77.0622,44831
37153,NC,35.006,-79.7479,44759
16017,ID,48.3,-116.6011,44688
17177,IL,42.3518,-89.6623,44683
36025,NY,42.1981,-74.9665,44676
37181,NC,36.3649,-78.4079,44614
29161,MO,37.8771,-91.7923,44587
18145,IN,39.5237,-85.7917,44559
13275,GA,30.8637,-83.9193,44545
12121,FL,30.1956,-82.9915,44290
39097,OH,39.894,-83.4002,44248
1021,AL,32.8479,-86.7188,44147
18071,IN,38.9064,-86.0375,44077
40071,OK,36.818,-97.1439,44074
21009,KY,36.9656,-85.9337,44026
40121,OK,34.9239,-95.7484,43955
39075,OH,40.5612,-81.9293,43954
47099,TN,35.2173,-87.3956,43780
42065,PA,41.1282,-78.9994,43570
55095,WI,45.4614,-92.4413,43549
6093,CA,41.5927,-122.5404,43516
5091,AR,33.3124,-93.8921,43515
39015,OH,38.9338,-83.8673,43508
55031,WI,46.4329,-91.9161,43497
26107,MI,43.6408,-85.3246,43481
51171,VA,38.8583,-78.5709,43441
37099,NC,35.2876,-83.1408,43435
26023,MI,41.9161,-85.059,43428
30081,MT,46.0817,-114.1207,43424
40137,OK,34.4856,-97.8515,43401
56037,WY,41.6595,-108.8795,43352
18033,IN,41.3976,-84.9991,43193
33019,NH,43.3614,-72.2222,43173
54019,WV,38.0288,-81.0812,43087
39071,OH,39.1847,-83.601,43080
13069,GA,31.5493,-82.8492,43070
22095,LA,30.1264,-90.4709,43055
27067,MN,45.1524,-95.0047,42909
48055,TX,29.8368,-97.6199,42817
40041,OK,36.4082,-94.8026,42741
19139,IA,41.4839,-91.1127,42703
19033,IA,43.0816,-93.2608,42672
50025,VT,42.9906,-72.7137,42628
48071,TX,29.7384,-94.6101,42571
29023,MO,36.7164,-90.4066,42570
37059,NC,35.9291,-80.5445,42543
18037,IN,38.3643,-86.8798,42534
53017,WA,47.7361,-119.6918,42520
29159,MO,38.7283,-93.2851,42421
55093,WI,44.7194,-92.4224,42336
8085,CO,38.4022,-108.2694,42280
13233,GA,34.0018,-85.1881,42251
48143,TX,32.2363,-98.218,42226
39051,OH,41.6018,-84.1301,42186
53047,WA,48.5488,-119.7408,42080
39027,OH,39.4149,-83.8084,42000
47051,TN,35.155,-86.0922,41999
54069,WV,40.0969,-80.6189,41875
40135,OK,35.4953,-94.7552,41687
49043,UT,40.8682,-110.9557,41680
5005,AR,36.2872,-92.3369,41673
48481,TX,29.2779,-96.2221,41672
12093,FL,27.3864,-80.8886,41611
39033,OH,40.8508,-82.9198,41603
12051,FL,26.5535,-81.1659,41472
5093,AR,35.7624,-90.0521,41396
48459,TX,32.7363,-94.9415,41386
51185,VA,37.125,-81.5606,41201
26151,MI,43.4236,-82.8203,41179
40097,OK,36.3019,-95.2307,41098
51683,VA,38.7479,-77.4838,41038
39107,OH,40.5399,-84.6294,41034
42083,PA,41.8076,-78.569,41021
39135,OH,39.7415,-84.648,40995
12075,FL,29.3184,-82.7436,40979
47177,TN,35.6787,-85.7785,40971
55115,WI,44.7891,-88.7654,40813
48249,TX,27.7314,-98.0899,40796
42117,PA,41.7722,-77.2543,40759
26057,MI,43.2927,-84.6049,40692
51590,VA,36.5831,-79.4088,40668
36073,NY,43.2521,-78.2312,40624
47047,TN,35.1971,-89.4144,40612
42115,PA,41.8214,-75.8007,40604
13277,GA,31.4574,-83.5266,40590
39123,OH,41.5379,-83.1434,40557
47021,TN,36.2612,-87.0868,40539
27009,MN,45.6991,-93.9988,40476
16069,ID,46.3268,-116.7503,40468
22009,LA,31.0763,-92.0014,40465
42109,PA,40.7698,-77.0702,40452
1123,AL,32.8624,-85.7975,40450
48097,TX,33.6393,-97.2126,40428
55075,WI,45.3833,-88.0337,40312
18061,IN,38.1951,-86.1114,40164
29091,MO,36.774,-91.8865,40130
16057,ID,46.8162,-116.7117,40052
36121,NY,42.7024,-78.2244,40027
27059,MN,45.5615,-93.2951,40004
54099,WV,38.146,-82.427,39952
27099,MN,43.6715,-92.7525,39931
40087,OK,35.0093,-97.4443,39921
51187,VA,38.9087,-78.2085,39888
47013,TN,36.4035,-84.1494,39818
23013,ME,44.141,-69.1686,39809
19127,IA,42.0358,-92.9988,39804
13213,GA,34.7884,-84.7481,39789
37139,NC,36.2955,-76.284,39775
16065,ID,43.7841,-111.6592,39725
23027,ME,44.5028,-69.1454,39723
56013,WY,43.0405,-108.6304,39711
41007,OR,45.9949,-123.6557,39656
37145,NC,36.39,-78.9718,39561
18087,IN,41.6426,-85.4265,39537
42123,PA,41.8145,-79.2741,39466
28113,MS,31.1749,-90.4042,39365
19057,IA,40.9232,-91.1815,39227
13219,GA,33.8349,-83.4371,39194
29225,MO,37.2809,-92.8759,39127
5139,AR,33.1713,-92.5972,39089
6005,CA,38.4464,-120.6511,39023
39059,OH,40.052,-81.4942,38996
21035,KY,36.621,-88.2722,38991
46013,SD,45.5898,-98.3516,38988
35039,NM,36.5096,-106.6931,38962
20037,KS,37.5073,-94.8518,38874
39021,OH,40.1377,-83.7695,38861
22119,LA,32.7135,-93.335,38813
17055,IL,37.9923,-88.9242,38688
56001,WY,41.6544,-105.7239,38664
42031,PA,41.1924,-79.421,38633
40111,OK,35.6466,-95.9643,38553
42035,PA,41.234,-77.6381,38549
29201,MO,37.053,-89.5686,38538
22069,LA,31.7234,-93.0962,38505
17203,IL,40.7882,-89.2111,38503
40123,OK,34.7281,-96.6844,38385
45071,SC,34.2898,-81.6001,38329
13029,GA,32.0145,-81.4436,38321
4009,AZ,32.9325,-109.8874,38304
18107,IN,40.0404,-86.8933,38295
51149,VA,37.1865,-77.2242,38292
29109,MO,37.1064,-93.8329,38241
1047,AL,32.326,-87.1065,38184
51195,VA,36.9752,-82.6212,38032
39039,OH,41.3239,-84.4905,38024
55083,WI,45.0263,-88.2697,37870
27041,MN,45.9338,-95.4535,37820
48049,TX,31.7743,-98.9998,37805
17081,IL,38.3005,-88.924,37774
18017,IN,40.7615,-86.346,37727
45029,SC,32.8636,-80.6669,37624
37197,NC,36.1605,-80.6652,37589
5063,AR,35.7416,-91.5697,37585
17027,IL,38.6065,-89.4225,37549
5009,AR,36.3086,-93.0915,37525
17121,IL,38.6496,-88.919,37524
18133,IN,39.6663,-86.845,37419
26033,MI,46.3053,-84.578,37418
22011,LA,30.6486,-93.3432,37387
12027,FL,27.1863,-81.8095,37371
51073,VA,37.416,-76.5434,37362
36031,NY,44.1172,-73.7726,37281
37003,NC,35.921,-81.177,37271
47045,TN,36.0592,-89.4137,37201
21083,KY,36.7231,-88.6512,37125
51093,VA,36.8912,-76.7259,37107
1039,AL,31.2485,-86.4513,37096
24041,MD,38.7709,-76.0968,37087
28003,MS,34.8808,-88.5803,37058
19099,IA,41.686,-93.0537,37032
50001,VT,44.0308,-73.1409,36947
18083,IN,38.6891,-87.418,36833
48321,TX,28.8212,-96.011,36791
55045,WI,42.68,-89.6022,36790
1053,AL,31.1262,-87.1615,36775
39171,OH,41.5603,-84.5882,36760
27147,MN,44.0223,-93.226,36710
48223,TX,33.1496,-95.564,36708
37055,NC,35.7805,-75.7982,36698
51109,VA,37.9786,-77.963,36654
31053,NE,41.5779,-96.654,36565
39031,OH,40.3017,-81.92,36558
51137,VA,38.2462,-78.0137,36501
42059,PA,39.8538,-80.2229,36484
20055,KS,38.0443,-100.737,36451
18069,IN,40.8292,-85.4881,36351
19187,IA,42.4279,-94.1818,36348
21235,KY,36.7581,-84.1452,36252
48227,TX,32.3062,-101.4355,36213
21049,KY,37.9708,-84.1474,36152
48217,TX,31.9907,-97.1324,36109
39127,OH,39.7371,-82.2361,36076
38105,ND,48.3437,-103.4802,36044
21071,KY,37.5571,-82.7457,35931
26061,MI,46.8978,-88.6875,35890
31157,NE,41.8505,-103.708,35884
26041,MI,45.9192,-86.9241,35874
47029,TN,35.9254,-83.1212,35797
27085,MN,44.8236,-94.2724,35788
17105,IL,40.8916,-88.5577,35757
13299,GA,31.0537,-82.4237,35745
49047,UT,40.1248,-109.5186,35736
23023,ME,43.9598,-69.8546,35720
27017,MN,46.5924,-92.677,35709
18103,IN,40.7695,-86.045,35684
29105,MO,37.6583,-92.5903,35680
50003,VT,43.0354,-73.093,35649
29009,MO,36.7099,-93.8291,35615
48241,TX,30.744,-94.0251,35562
28095,MS,33.8923,-88.4805,35559
18001,IN,40.7456,-84.9366,35544
28093,MS,34.7623,-89.5031,35502
55085,WI,45.7056,-89.5218,35480
21089,KY,38.5457,-82.9223,35359
48477,TX,30.2145,-96.4034,35275
37113,NC,35.1505,-83.4222,35172
39117,OH,40.5241,-82.7941,35148
46011,SD,44.3697,-96.7904,35115
19179,IA,41.0306,-92.4095,35102
20035,KS,37.2377,-96.8375,35090
29219,MO,38.7646,-91.1607,35090
48147,TX,33.5938,-96.1068,35046
31111,NE,41.0478,-100.7452,35042
31119,NE,41.9167,-97.6008,35023
40081,OK,35.703,-96.8809,34936
37165,NC,34.8409,-79.4804,34921
19167,IA,43.0826,-96.1779,34900
30093,MT,45.9024,-112.6567,34895
54025,WV,37.947,-80.453,34893
13145,GA,32.736,-84.9089,34676
55019,WI,44.7347,-90.6121,34668
17057,IL,40.4728,-90.2075,34654
18151,IN,41.6439,-85.0008,34591
17133,IL,38.2785,-90.1773,34444
20079,KS,38.0432,-97.4272,34434
23015,ME,44.0664,-69.5435,34415
51083,VA,36.7669,-78.9366,34295
36099,NY,42.781,-76.8238,34295
27005,MN,46.9346,-95.674,34227
17103,IL,41.7461,-89.3003,34204
28085,MS,31.5324,-90.454,34197
27103,MN,44.3499,-94.2474,34176
47103,TN,35.1405,-86.589,34158
17049,IL,39.0598,-88.5899,34151
51155,VA,37.0636,-80.7144,34113
28107,MS,34.3639,-89.9506,34079
37175,NC,35.2021,-82.7982,34039
17137,IL,39.7156,-90.2015,34012
19111,IA,40.642,-91.4793,33946
18183,IN,41.1394,-85.5051,33899
45027,SC,33.6658,-80.2164,33865
39137,OH,41.0221,-84.1317,33836
20121,KS,38.5635,-94.8381,33740
20057,KS,37.6917,-99.888,33718
18051,IN,38.3119,-87.5846,33711
47117,TN,35.4689,-86.765,33708
5059,AR,34.3177,-92.9461,33667
54077,WV,39.4693,-79.6682,33610
22039,LA,30.7289,-92.4059,33491
48189,TX,34.0705,-101.8269,33463
51023,VA,37.5571,-79.8123,33440
18073,IN,41.023,-87.1161,33433
26165,MI,44.3384,-85.5784,33433
1017,AL,32.9143,-85.392,33427
47183,TN,36.2983,-88.7178,33377
20061,KS,39.0024,-96.7525,33309
18027,IN,38.7024,-87.0721,33277
1109,AL,31.8027,-85.9409,33274
24011,MD,38.8717,-75.8316,33260
31141,NE,41.5713,-97.5211,33250
20111,KS,38.4562,-96.1526,33237
37017,NC,34.6146,-78.5637,33209
19125,IA,41.3344,-93.0994,33193
26047,MI,45.5201,-84.8904,33175
27097,MN,46.0126,-94.2684,33119
49051,UT,40.3308,-111.1682,33053
13187,GA,34.5722,-84.0027,33009
1079,AL,34.5216,-87.311,32969
47143,TN,35.6087,-84.9244,32964
40089,OK,34.1154,-94.7713,32913
17011,IL,41.4041,-89.5286,32878
12129,FL,30.1673,-84.4007,32855
35055,NM,36.5783,-105.631,32759
48449,TX,33.2166,-94.9657,32709
17021,IL,39.5458,-89.2772,32705
29107,MO,39.0655,-93.7854,32697
22047,LA,30.2586,-91.3495,32626
48025,TX,28.4174,-97.7412,32609
54045,WV,37.8315,-81.9353,32593
51001,VA,37.7643,-75.6332,32560
39079,OH,39.0197,-82.6184,32440
45023,SC,34.6921,-81.1595,32260
47079,TN,36.3318,-88.3013,32251
18023,IN,40.3017,-86.4752,32186
18055,IN,39.0363,-86.962,32174
18077,IN,38.7858,-85.4386,32167
20125,KS,37.1925,-95.7429,32114
2110,AK,58.4546,-134.1739,32099
29167,MO,37.6165,-93.4005,32031
13227,GA,34.4643,-84.4656,32002
28115,MS,34.2254,-89.0374,31996
24019,MD,38.4829,-76.0125,31994
17157,IL,38.0521,-89.8252,31973
29209,MO,36.7469,-93.456,31875
47025,TN,36.4859,-83.6604,31827
53031,WA,47.7487,-123.596,31825
51009,VA,37.6048,-79.1451,31782
1059,AL,34.4417,-87.8438,31587
31001,NE,40.5245,-98.5012,31541
33007,NH,44.6896,-71.3056,31486
22053,LA,30.2677,-92.8141,31425
39065,OH,40.6615,-83.6595,31393
27119,MN,47.7739,-96.4018,31384
23029,ME,45.0307,-67.6287,31378
21121,KY,36.8907,-83.854,31288
40115,OK,36.8355,-94.8104,31283
28011,MS,33.7971,-90.8806,31253
21157,KY,36.8834,-88.3294,31225
18169,IN,40.8457,-85.794,31198
36095,NY,42.5882,-74.4421,31189
38089,ND,46.8107,-102.6551,31164
38059,ND,46.7161,-101.2811,31118
26063,MI,43.8333,-83.019,31105
28001,MS,31.4829,-91.3535,31103
13123,GA,34.6912,-84.4556,30986
45067,SC,34.0801,-79.3625,30954
