fips,ST,lat,lng,population
34005,NJ,39.8777,-74.6681,446301
6083,CA,34.6729,-120.0169,444895
6095,CA,38.27,-121.9329,444538
22033,LA,30.5383,-91.0956,443158
22051,LA,29.7872,-90.1274,434903
6053,CA,36.2171,-121.2388,432977
39095,OH,41.6197,-83.659,430319
12115,FL,27.1845,-82.3315,427766
27037,MN,44.6719,-93.0654,425271
48061,TX,26.1333,-97.5182,422135
42011,PA,40.4163,-75.926,419062
33011,NH,42.9153,-71.7161,415305
41005,OR,45.188,-122.2209,415084
45079,SC,34.0218,-80.9031,414660
1097,AL,30.7872,-88.2058,413977
45019,SC,32.8346,-79.9531,407543
26049,MI,43.0217,-83.7067,406770
51107,VA,39.0907,-77.6357,405312
55133,WI,43.0182,-88.3045,402637
29183,MO,38.782,-90.6749,398472
12081,FL,27.4719,-82.3153,393847
5119,AR,34.77,-92.312,393078
6061,CA,39.0634,-120.7177,391799
22071,LA,30.0687,-89.9288,391249
39017,OH,39.4386,-84.5756,382129
36071,NY,41.4021,-74.3056,382077
12021,FL,26.1107,-81.3475,379345
37067,NC,36.1306,-80.2563,378499
41039,OR,43.9387,-122.8479,377749
18003,IN,41.0909,-85.0666,375520
39151,OH,40.8139,-81.3656,371516
26161,MI,42.2532,-83.8388,368385
34021,NJ,40.2834,-74.7018,368085
48039,TX,29.1897,-95.4521,368062
1089,AL,34.7631,-86.5502,367686
42077,PA,40.6127,-75.5924,367338
47065,TN,35.1808,-85.1648,364718
12097,FL,28.0626,-81.1495,363666
48355,TX,27.7254,-97.6134,362151
12083,FL,29.2102,-82.0567,360210
12069,FL,28.7615,-81.7113,356115
48027,TX,31.0373,-97.4788,355700
27003,MN,45.2733,-93.2465,353775
49011,UT,40.99,-112.1115,350761
42129,PA,40.3109,-79.4668,350722
8069,CO,40.6664,-105.4612,350523
51041,VA,37.3785,-77.587,348500
8035,CO,39.3297,-104.9296,344280
45051,SC,33.9214,-78.9966,344186
41047,OR,44.9033,-122.5846,343742
48167,TX,29.3945,-94.9635,337600
37051,NC,35.0487,-78.8277,334562
18057,IN,40.0725,-86.052,330455
34035,NJ,40.5635,-74.6163,330151
51087,VA,37.538,-77.4058,330076
36087,NY,41.1524,-74.0241,325213
8013,CO,40.0925,-105.3577,324682
47149,TN,35.8427,-86.4167,324139
24027,MD,39.2507,-76.9312,322407
21067,KY,38.0423,-84.4587,322200
12111,FL,27.3772,-80.472,320914
37063,NC,36.036,-78.8766,317665
42079,PA,41.177,-75.9891,317547
12033,FL,30.669,-87.363,316691
31109,NE,40.7842,-96.6878,315976
8123,CO,40.5548,-104.3925,315389
45083,SC,34.9309,-81.9908,313791
39093,OH,41.2956,-82.151,309134
48303,TX,33.6102,-101.8205,308392
33015,NH,42.9876,-71.1254,308211
17111,IL,42.3244,-88.4523,307291
36001,NY,42.6002,-73.9736,306165
29510,MO,38.6359,-90.2451,304709
42095,PA,40.7542,-75.3076,304233
45063,SC,33.9023,-81.2722,295033
23005,ME,43.8465,-70.399,294520
36027,NY,41.7651,-73.7429,293524
2020,AK,61.1508,-149.1091,292090
12073,FL,30.458,-84.2779,291863
34015,NJ,39.7173,-75.1414,291745
29077,MO,37.258,-93.342,291574
26065,MI,42.5971,-84.3735,290923
13051,GA,32.0043,-81.1329,289649
26139,MI,42.9598,-85.9961,289162
13063,GA,33.5419,-84.3577,287560
53067,WA,46.9258,-122.8332,284698
17201,IL,42.3363,-89.1609,283635
6079,CA,35.3871,-120.4044,282517
40027,OK,35.2031,-97.3265,282189
42043,PA,40.4154,-76.7795,277071
48479,TX,27.7611,-99.3316,274847
45091,SC,34.9748,-81.1845,273887
6047,CA,37.1919,-120.7177,273661
5007,AR,36.3387,-94.2561,273510
6087,CA,37.0562,-122.0018,273170
42049,PA,41.9925,-80.0327,272046
18141,IN,41.6167,-86.2899,270881
53035,WA,47.613,-122.6716,268945
12001,FL,29.6748,-82.3577,268105
9011,CT,41.4867,-72.1014,266868
34001,NJ,39.4777,-74.661,264650
17119,IL,38.8297,-89.9049,264403
26077,MI,42.2455,-85.5312,264322
55009,WI,44.4525,-88.0037,262559
17163,IL,38.4703,-89.9284,261186
37021,NC,35.6112,-82.5301,259576
6041,CA,38.0735,-122.7235,259441
27163,MN,45.0388,-92.8838,259072
22103,LA,30.4102,-89.9583,258447
24021,MD,39.4722,-77.398,255955
12109,FL,29.9016,-81.4407,255410
49057,UT,41.2698,-111.9134,255284
48309,TX,31.5524,-97.2018,254045
13057,GA,34.2439,-84.4762,253780
24025,MD,39.5611,-76.3171,253736
48245,TX,29.8841,-94.1629,253136
42041,PA,40.1636,-77.2655,251487
53077,WA,46.457,-120.7385,250649
29047,MO,39.3105,-94.4209,246480
51710,VA,36.8945,-76.259,244300
22055,LA,30.2068,-92.0639,243692
22017,LA,32.5806,-93.8823,243243
51550,VA,36.6778,-76.3023,242647
13117,GA,34.2255,-84.1251,236605
51013,VA,38.8786,-77.1011,236434
5143,AR,35.9791,-94.2156,236198
37179,NC,34.9884,-80.5307,235767
28049,MS,32.2667,-90.4429,235604
39165,OH,39.4277,-84.1668,232540
4025,AZ,34.5998,-112.5537,232396
47187,TN,35.8938,-86.8987,232380
37129,NC,34.2328,-77.8847,231448
10005,DE,38.6606,-75.39,230249
48423,TX,32.375,-95.2692,230184
13151,GA,33.453,-84.1542,229994
39085,OH,41.6963,-81.2373,229755
36091,NY,43.1074,-73.8639,229313
51760,VA,37.5295,-77.4756,229233
36065,NY,43.2417,-75.4358,229074
39099,OH,41.0146,-80.7763,228452
1101,AL,32.2203,-86.2076,226451
48041,TX,30.6608,-96.3024,226370
19113,IA,42.079,-91.599,225601
29099,MO,38.2611,-90.5377,224777
53073,WA,48.8258,-121.7196,224538
16027,ID,43.6251,-116.7093,223890
6007,CA,39.6669,-121.6007,223344
48209,TX,30.0579,-98.0312,222827
37071,NC,35.2944,-81.1803,222119
45015,SC,33.1973,-79.9522,222103
41029,OR,42.4322,-122.7285,218781
6113,CA,38.6866,-121.9016,218774
1003,AL,30.7276,-87.7226,218289
35013,NM,32.3526,-106.8327,217696
1117,AL,33.2643,-86.6607,216350
12019,FL,29.9831,-81.8579,215294
25001,MA,41.7244,-70.2904,213505
4027,AZ,32.7695,-113.9057,211931
37025,NC,35.3868,-80.5519,211605
4015,AZ,35.7041,-113.7579,210998
42069,PA,41.4367,-75.6093,210162
36063,NY,43.2001,-78.7453,210145
17019,IL,40.1401,-88.1992,210006
1125,AL,33.2896,-87.5251,208854
12091,FL,30.6913,-86.5917,207430
42125,PA,40.1894,-80.2483,207081
28047,MS,30.5122,-89.1161,206169
23031,ME,43.4782,-70.7144,206074
39025,OH,39.0476,-84.1517,205616
39041,OH,40.2784,-83.0049,205454
18039,IN,41.5974,-85.8587,205184
47125,TN,36.4969,-87.3829,204992
37101,NC,35.5178,-78.3657,203308
22019,LA,30.2293,-93.358,202858
13245,GA,33.3596,-82.0736,202178
13139,GA,34.3169,-83.8197,201434
15001,HI,19.5985,-155.5185,201350
53005,WA,46.2398,-119.5112,200715
45007,SC,34.5193,-82.6378,200183
27137,MN,47.6032,-92.4707,199499
39155,OH,41.3172,-80.7611,199144
37133,NC,34.7321,-77.4321,198377
17167,IL,39.7582,-89.6589,195963
55101,WI,42.7475,-88.0612,195859
13215,GA,32.51,-84.8771,195418
18157,IN,40.3886,-86.8941,193302
36007,NY,42.1602,-75.8196,192042
41017,OR,43.915,-121.2282,191749
46099,SD,43.6742,-96.7915,191682
26145,MI,43.335,-84.0532,191166
26093,MI,42.6029,-83.9115,190832
12053,FL,28.5535,-82.4245,190700
6017,CA,38.7787,-120.5247,190345
45013,SC,32.3855,-80.7302,189732
42019,PA,40.912,-79.9133,187798
47165,TN,36.4694,-86.4604,187680
55087,WI,44.4161,-88.4649,186829
12015,FL,26.9055,-81.9123,185926
31153,NE,41.1129,-96.1119,183956
28033,MS,34.8753,-89.9912,182256
18163,IN,38.0249,-87.5859,181548
9005,CT,41.7925,-73.2453,181143
17143,IL,40.788,-89.76,181111
54039,WV,38.3366,-81.5281,181014
6025,CA,33.0395,-115.3653,180580
12005,FL,30.2652,-85.6203,180076
37147,NC,35.5933,-77.3745,179961
38017,ND,46.933,-97.248,179937
29019,MO,38.9906,-92.3097,179704
12113,FL,30.7004,-87.0219,179587
51700,VA,37.1051,-76.5185,179582
48139,TX,32.3484,-96.7946,179484
6089,CA,40.7637,-122.0405,179267
10001,DE,39.086,-75.5686,179124
39103,OH,41.1176,-81.8997,179116
37097,NC,35.807,-80.8734,178853
36111,NY,41.8881,-74.2586,178371
20177,KS,39.0415,-95.7565,177293
39089,OH,40.0916,-82.4831,175409
26121,MI,43.2912,-86.152,173679
19163,IA,41.6371,-90.6233,172938
17113,IL,40.4909,-88.8473,172164
49053,UT,37.2804,-113.5048,172127
48251,TX,32.379,-97.3665,171359
48329,TX,31.8691,-102.0316,171238
55139,WI,44.0689,-88.6447,170924
45003,SC,33.5443,-81.6347,169947
18127,IN,41.4603,-87.0671,169482
55059,WI,42.5769,-88.0424,168998
42089,PA,41.0581,-75.3395,168824
24013,MD,39.5629,-77.0225,168233
39057,OH,39.6915,-83.8899,167867
8101,CO,38.1735,-104.5127,167412
37057,NC,35.7933,-80.2128,166837
18063,IN,39.7695,-86.51,166806
15009,HI,20.8596,-156.5649,166657
21117,KY,38.9334,-84.5333,166552
37001,NC,36.0437,-79.3994,166144
20209,KS,39.1146,-94.7646,165447
42007,PA,40.6823,-80.3493,164781
13223,GA,33.9206,-84.8673,164440
44003,RI,41.6721,-71.5931,164122
1081,AL,32.6011,-85.3555,163461
50007,VT,44.4608,-73.0808,163414
48187,TX,29.583,-97.9486,163030
9007,CT,41.4632,-72.5351,162742
55105,WI,42.6712,-89.0716,162532
39133,OH,41.1677,-81.1974,162476
42027,PA,40.9193,-77.82,162264
48135,TX,31.8692,-102.5427,162067
16055,ID,47.6744,-116.7018,161676
24017,MD,38.5073,-76.9922,161448
25015,MA,42.3402,-72.6638,161361
45035,SC,33.0793,-80.4067,161309
12085,FL,27.0775,-80.4315,160420
30111,MT,45.9373,-108.2744,160390
27145,MN,45.5521,-94.613,159788
26147,MI,42.9341,-82.6806,159285
36083,NY,42.7111,-73.5097,159013
37035,NC,35.662,-81.2151,158507
51510,VA,38.8185,-77.0861,158309
26075,MI,42.2485,-84.4234,158174
47163,TN,36.5129,-82.3042,157707
12061,FL,27.6943,-80.6062,156964
27109,MN,44.0038,-92.4018,156446
39045,OH,39.7516,-82.6306,156204
18081,IN,39.49,-86.1016,156148
6039,CA,37.2181,-119.7626,155925
13153,GA,32.459,-83.6662,155317
36093,NY,42.8181,-74.0586,155086
42055,PA,39.9274,-77.7213,154954
22073,LA,32.4784,-92.1549,154679
13073,GA,33.5441,-82.2641,154257
28121,MS,32.2641,-89.9458,154119
26021,MI,41.9547,-86.4123,153797
13021,GA,32.8065,-83.6974,153026
8077,CO,39.0183,-108.4665,152962
23019,ME,45.4006,-68.6495,151696
6031,CA,36.0753,-119.8155,151090
9013,CT,41.855,-72.3365,150947
33013,NH,43.2975,-71.6802,150902
19103,IA,41.6715,-91.5881,150819
24043,MD,39.6036,-77.814,150575
35049,NM,35.5069,-105.9763,150319
51179,VA,38.4207,-77.458,150185
34011,NJ,39.3738,-75.1107,150085
26115,MI,41.9291,-83.5394,150000
48091,TX,29.8082,-98.2783,148921
12017,FL,28.8489,-82.4794,147938
18105,IN,39.1609,-86.5231,147318
27139,MN,44.6485,-93.5359,147201
37135,NC,36.0611,-79.1207,146354
13077,GA,33.3534,-84.7634,145839
13097,GA,33.7018,-84.768,145063
35043,NM,35.6886,-106.8659,144954
40017,OK,35.5424,-97.9824,144610
37151,NC,35.7103,-79.806,143460
28059,MS,30.5423,-88.6357,142872
17161,IL,41.4673,-90.5674,142801
4005,AZ,35.8387,-111.7705,142254
42107,PA,40.7058,-76.2159,141935
34037,NJ,41.1393,-74.6908,140996
37159,NC,35.6394,-80.5248,140978
47189,TN,36.1549,-86.2977,140604
22063,LA,30.4401,-90.7279,140524
42075,PA,40.3672,-76.4577,140410
6055,CA,38.5065,-122.3305,138572
48367,TX,32.7776,-97.8051,138447
45041,SC,34.0245,-79.703,138237
48441,TX,32.3015,-99.8902,137521
37019,NC,34.071,-78.2377,137303
27171,MN,45.1739,-93.9631,136387
6023,CA,40.6993,-123.8756,136101
48381,TX,34.9659,-101.8969,136005
55131,WI,43.3685,-88.2307,135529
55073,WI,44.8983,-89.7591,135485
51650,VA,37.0551,-76.363,135169
51177,VA,38.1849,-77.6561,134683
39023,OH,39.9168,-83.7839,134409
37085,NC,35.3688,-78.8693,134328
26025,MI,42.2465,-85.0056,133943
22105,LA,30.6266,-90.4057,133753
48181,TX,33.6268,-96.6777,133527
17179,IL,40.5075,-89.5134,132524
21015,KY,38.9699,-84.7278,132368
48485,TX,33.988,-98.7036,132154
19013,IA,42.4701,-92.3088,131813
37155,NC,34.6402,-79.1039,131656
47009,TN,35.6872,-83.9255,131641
42021,PA,40.4953,-78.7135,131611
21227,KY,36.9936,-86.4238,130836
39173,OH,41.3617,-83.623,130662
22079,LA,31.1986,-92.5332,130376
42051,PA,39.9201,-79.6474,130329
33017,NH,43.297,-71.0289,130161
12119,FL,28.7048,-82.081,129938
48257,TX,32.5993,-96.2878,129792
18095,IN,40.1617,-85.7194,129486
47179,TN,36.2933,-82.4974,128874
5131,AR,35.1988,-94.2743,127670
36013,NY,42.2281,-79.3663,127584
17093,IL,41.5906,-88.4288,127583
53057,WA,48.4793,-121.7305,127442
41043,OR,44.4887,-122.5344,127216
22015,LA,32.6784,-93.6049,126952
13059,GA,33.9512,-83.3673,126952
4003,AZ,31.8795,-109.7512,126442
49005,UT,41.7224,-111.7436,126336
44009,RI,41.4697,-71.6225,126139
25003,MA,42.3707,-73.2064,125927
35045,NM,36.5085,-108.3206,125608
45077,SC,34.8873,-82.7253,125381
34019,NJ,40.5673,-74.9122,125063
22005,LA,30.2036,-90.9113,125061
5045,AR,35.147,-92.332,124800
37191,NC,35.364,-78.004,123785
48183,TX,32.4805,-94.817,123633
42013,PA,40.4811,-78.3484,122495
23011,ME,44.4091,-69.7673,122158
40031,OK,34.6621,-98.4717,121374
20045,KS,38.8847,-95.2926,121304
39139,OH,40.7747,-82.5365,121043
5125,AR,34.6467,-92.6766,120990
29097,MO,37.2035,-94.3406,120528
1103,AL,34.4535,-86.8529,119352
30063,MT,47.0365,-113.9237,119062
13045,GA,33.5828,-85.0798,118692
48451,TX,31.4044,-100.4622,118645
48375,TX,35.4013,-101.8941,118323
55063,WI,43.9066,-91.1152,118168
36075,NY,43.4269,-76.1413,117630
54003,WV,39.4641,-78.0275,117615
18019,IN,38.4772,-85.7073,117410
